Vessel Name,Predicted ETA,Distance / Time,Course / Speed,Current draught,Navigation Status,Position received,IMO / MMSI,Callsign,Flag,Length / Beam
NAVIOS LUZ,,,,17.7 m,-,17 hours ago,9481295 / 370604000,3FJV2,Panama,292 / 45 m
NAVIOS BONHEUR,,,,16.6 m,-,33 hours ago,9481348 / 352425000,3FJJ7,Panama,292 / 45 m
CAPE SAKURA,,,,18.2 m,-,5 days ago,9573763 / 432786000,7JHZ,Japan,292 / 45 m
THALASSINI NJORD,,,,18.2 m,-,16 days ago,9757838 / 636017522,D5LJ2,Liberia,292 / 45 m
NAVIOS ALTAMIRA,,,,15.1 m,-,13 days ago,9589827 / 370380000,3FRN4,Panama,292 / 45 m
NAVIOS FULVIA,,,,8.3 m,-,8 days ago,9500986 / 351546000,H3FN,Panama,292 / 45 m
MSC POESIA,-,-,,7.9 m,-,36 hours ago,9387073 / 355931000,3EPL4,Panama,294 / 32 m
NSU LODESTAR,-,-,353.5° / 11.8 kn,16.1 m,-,35 days ago,9465227 / 432905000,7JNM,Japan,292 / 45 m
CENTAURUS DREAM,-,-,,11.8 m,-,16 days ago,9551715 / 432950000,7JPG,Japan,292 / 45 m
LAMBERT MARU,-,-,,9.0 m,-,46 hours ago,9558206 / 432870000,7JMK,Japan,292 / 45 m
CAPE PEREGRINE,,,,10.4 m,Under way,31 min ago,9500754 / 636020317,D5YR3,Liberia,292 / 45 m
THALASSINI AVRA,-,-,,10.0 m,At anchor,2 hours ago,9500704 / 229053000,9HA5453,Malta,291 / 45 m
ALPHA FREEDOM,-,-,,8.6 m,-,7 days ago,9722364 / 241386000,SVCF7,Greece,292 / 45 m
ALPHA HONESTY,,,,17.9 m,-,4 days ago,9722376 / 256556000,9HA3949,Malta,292 / 45 m
ALPHA OPTIMISM,,,,17.9 m,-,7 days ago,9722388 / 256557000,9HA3950,Malta,292 / 45 m
BERGE NYANGANI,,,,9.1 m,-,8 days ago,9558294 / 232018697,MEBX8,United Kingdom (UK),292 / 45 m
MSC ORCHESTRA,-,-,,-,Under way,0 min ago,9320099 / 372497000,3EJF3,Panama,294 / 32 m
MSC MUSICA,,,312.9° / 17.7 kn,7.8 m,-,4 days ago,9320087 / 352003000,3EFK6,Panama,294 / 32 m
FLAGSHIP,-,-,,9.9 m,-,14 days ago,9514224 / 538009408,V7A4696,Marshall Islands,292 / 45 m
FRONTIER ZONE,-,-,,18.1 m,-,7 days ago,9551741 / 538005343,V7CX4,Marshall Islands,292 / 45 m
CAPE CRANE,-,-,,7.5 m,-,9 days ago,9558177 / 636019567,D5VC3,Liberia,292 / 45 m
ASL OTSL 2,,,,8.8 m,-,4 days ago,9500766 / 636020508,D5ZN3,Liberia,292 / 45 m
MIRACLE,,,,17.7 m,-,39 hours ago,9500742 / 636023691,5LOY3,Liberia,292 / 45 m
NAVIOS CANARY,,,,18.1 m,-,3 days ago,9583005 / 373716000,3EBN6,Panama,292 / 45 m
PAN DREAM,-,-,,11.6 m,-,15 days ago,9539195 / 354534000,3FSM4,Panama,292 / 45 m
PAN GOLD,,,,17.8 m,-,22 hours ago,9468712 / 356723000,3FQI,Panama,291 / 45 m
PELOPIDAS,,,,18.5 m,-,4 days ago,9501071 / 538004475,V7XG6,Marshall Islands,292 / 45 m
PAN EMERALD,-,-,155.8° / 11.5 kn,8.4 m,-,29 days ago,9468358 / 373117000,3FGP4,Panama,292 / 45 m
PAN FREEDOM,-,-,,19.0 m,-,90 days ago,9468360 / 373137000,3EWI6,Panama,291 / 45 m
PAN IRIS,-,-,,17.7 m,-,10 days ago,9468736 / 373143000,3EWB4,Panama,292 / 45 m
PAN BONA,,,9.8° / 12.6 kn,17.9 m,-,10 days ago,9510527 / 355120000,3FFB8,Panama,292 / 45 m
,,,,,,,,,,
PACIFIC SOUTH,-,-,,18.1 m,Moored,1 min ago,9474967 / 538008228,V7A2109,Marshall Islands,292 / 45 m
MAERSK STEPNICA,,,,15.2 m,Under way,8 hours ago,9352004 / 477891700,VRVM4,Hong Kong,334 / 43 m
MAERSK SALINA,-,-,,10.3 m,-,5 days ago,9352030 / 477770300,VRGW2,Hong Kong,334 / 43 m
MAERSK STOCKHOLM,,,,12.7 m,-,9 days ago,9352042 / 477770200,VRGW3,Hong Kong,334 / 43 m
MAERSK SAVANNAH,-,-,,9.8 m,-,21 hours ago,9352028 / 477893200,VRVN9,Hong Kong,334 / 43 m
