Vessel Name,Predicted ETA,Distance / Time,Course / Speed,Current draught,Navigation Status,Position received,IMO / MMSI,Callsign,Flag,Length / Beam
CMA CGM JEAN MERMOZ,-,-,,12.5 m,Moored,1 min ago,9776420 / 248758000,9HA4798,Malta,400 / 59 m
CMACGM LOUIS BLERIOT,,,230.5° / 11.6 kn,13.9 m,-,14 hours ago,9776432 / 248794000,9HA4811,Malta,399 / 58 m
CMA CGM ST EXUPERY,,,170.4° / 18.5 kn,15.9 m,-,4 days ago,9776418 / 229270000,9HA5316,Malta,399 / 58 m
EVER GRADE,,,315.9° / 20.0 kn,16.0 m,-,6 days ago,9820855 / 357463000,3FZS6,Panama,399 / 59 m
EVER GOODS,,,191.5° / 20.0 kn,11.4 m,Under way,5 hours ago,9810991 / 371308000,3FRV5,Panama,400 / 59 m
EVER GIVEN,-,-,,10.9 m,-,27 hours ago,9811000 / 353136000,H3RC,Panama,400 / 59 m
EVER GOLDEN,-,-,,12.3 m,Moored,1 min ago,9811012 / 354654000,H9TK,Panama,400 / 59 m
PFLNG DUA,-,-,,13.2 m,-,53 days ago,9739185 / 533131077,9M2059,Malaysia,362 / 52 m
EVER GENTLE,-,-,,16.2 m,Moored,1 min ago,9820922 / 636019174,D5TG9,Liberia,400 / 59 m
COSCO SHIPPING STAR,-,-,255.7° / 7.1 kn,12.6 m,-,40 hours ago,9795658 / 477318200,VRSQ4,Hong Kong,400 / 59 m
COSCO GALAXY,,,318.5° / 19.6 kn,16.0 m,-,15 hours ago,9795634 / 477269300,VRSJ9,Hong Kong,400 / 59 m
COSCO SHIPPING SOLAR,,,324° / 18.8 kn,15.2 m,-,15 hours ago,9795646 / 477302900,VRSO4,Hong Kong,400 / 59 m
COSCO NEBULA,-,-,142.4° / 1.0 kn,11.1 m,Under way,0 min ago,9795622 / 477194400,VRRW8,Hong Kong,400 / 58 m
MSC WORLD EUROPA,-,-,21° / 0.0 kn,9.4 m,Moored,2 min ago,9837420 / 256070000,9HA5682,Malta,333 / 54 m
COSCO PLANET,,,,12.1 m,Under way,5 hours ago,9795660 / 477345900,VRSU6,Hong Kong,400 / 59 m
COSCO UNIVERSE,,,306° / 14.8 kn,16.0 m,-,18 hours ago,9795610 / 477157400,VRRP4,Hong Kong,400 / 59 m
ALMIRANTE TAMANDARE,-,-,260.9° / 0.0 kn,10.0 m,-,43 days ago,9919814 / 311001009,C6EV2,Bahamas,336 / 60 m
MAASTRICHT MAERSK,-,-,,13.3 m,-,27 hours ago,9780483 / 219045000,OWSE2,Denmark,399 / 58 m
MUMBAI MAERSK,,,,17.2 m,-,2 days ago,9780471 / 219039000,OWNQ2,Denmark,399 / 58 m
MUNICH MAERSK,,,144.5° / 19.3 kn,16.8 m,-,3 days ago,9778806 / 219835000,OWCH2,Denmark,399 / 58 m
MOSCOW MAERSK,,,,16.4 m,-,4 days ago,9778818 / 219864000,OWCM2,Denmark,399 / 58 m
MARSEILLE MAERSK,-,-,,11.5 m,Under way,0 min ago,9778844 / 219854000,OWPU2,Denmark,399 / 58 m
MURCIA MAERSK,-,-,,11.9 m,-,39 hours ago,9780457 / 219036000,OWTB2,Denmark,399 / 58 m
MANCHESTER MAERSK,-,-,,13.5 m,-,7 days ago,9780445 / 219034000,OWAV2,Denmark,399 / 58 m
MONACO MAERSK,,,221.9° / 6.5 kn,12.6 m,Under way,0 min ago,9778832 / 219863000,OWNL2,Denmark,399 / 58 m
MANILA MAERSK,,,32° / 14.5 kn,16.2 m,Under way,0 min ago,9780469 / 219038000,OWPP2,Denmark,399 / 58 m
MADRID MAERSK,,,188.6° / 16.0 kn,15.0 m,-,3 days ago,9778791 / 219836000,OWMD2,Denmark,399 / 58 m
MILAN MAERSK,,,,17.0 m,-,3 days ago,9778820 / 219861000,OWGK2,Denmark,399 / 58 m
ONE TRIBUTE,-,-,,11.1 m,Under way,1 min ago,9769295 / 431787000,7KMG,Japan,400 / 59 m
ONE TRADITION,,,52.3° / 16.8 kn,15.5 m,-,5 days ago,9769300 / 431808000,7KML,Japan,400 / 59 m
ONE TRIUMPH,,,,16.1 m,Under way,8 hours ago,9769271 / 538007360,V7FQ8,Marshall Islands,400 / 59 m
ONE TRUST,-,-,,11.6 m,-,7 days ago,9769283 / 538007378,V7LF7,Marshall Islands,400 / 59 m
OOCL INDONESIA,-,-,,10.9 m,-,2 days ago,9776224 / 477147600,VRRH6,Hong Kong,400 / 59 m
OOCL HONG KONG,,,,15.1 m,-,5 days ago,9776171 / 477333500,VRQL9,Hong Kong,400 / 59 m
OOCL SCANDINAVIA,,,142.4° / 18.4 kn,11.5 m,-,7 days ago,9776212 / 477121200,VRRB8,Hong Kong,400 / 59 m
OOCL JAPAN,,,,13.0 m,-,6 days ago,9776195 / 477100400,VRQX5,Hong Kong,400 / 59 m
OOCL GERMANY,,,,15.5 m,-,19 hours ago,9776183 / 477035800,VRQS3,Hong Kong,400 / 59 m
OOCL UNITED KINGDOM,,,,15.8 m,-,3 days ago,9776200 / 477103800,VRQZ8,Hong Kong,400 / 59 m
ONE TREASURE,-,-,,10.7 m,Under way,0 min ago,9773222 / 357210000,3EUO7,Panama,400 / 58 m
ONE TRUTH,,,309.8° / 14.4 kn,15.6 m,-,3 days ago,9773210 / 356984000,3FBJ9,Panama,399 / 58 m
PROSPERITY,-,-,,15.8 m,Moored,3 min ago,9881043 / 311000949,C6EN8,Bahamas,349 / 60 m
LIZA UNITY,-,-,,7.9 m,Moored,2 min ago,9851828 / 311000797,C6DV8,Bahamas,333 / 60 m
JAGUAR,-,-,,6.0 m,-,8 days ago,9999515 / 311001423,C6HC6,Bahamas,334 / 60 m
MSC WORLD AMERICA,-,-,,8.9 m,-,3 days ago,9837432 / 249193000,9HA6157,Malta,333 / 54 m
FPSO SEPETIBA,-,-,268.2° / 0.1 kn,19.5 m,-,312 days ago,9881457 / 311000945,C6EN4,Bahamas,331 / 60 m
PFLNG SATU,-,-,,12.5 m,-,4 days ago,9665085 / 533130229,9WJY6,Malaysia,365 / 60 m
PACIFIC UNITY,,,,20.5 m,-,5 days ago,9806976 / 477159400,VRRJ4,Hong Kong,362 / 65 m
PACIFIC HARVEST,,,,12.3 m,-,43 hours ago,9806988 / 477191200,VRRJ8,Hong Kong,362 / 65 m
PACIFIC VISION,,,,12.8 m,-,19 hours ago,9806990 / 477232500,VRRJ5,Hong Kong,362 / 65 m
YUAN YI HAI,,,241.7° / 12.8 kn,12.0 m,-,4 days ago,9806897 / 563065300,9V5554,Singapore,362 / 65 m
YUAN BAO HAI,-,-,,12.7 m,-,12 days ago,9806902 / 563067600,9V5555,Singapore,362 / 65 m
YUAN QIAN HAI,-,-,,11.5 m,-,9 days ago,9806952 / 563101200,9V5563,Singapore,362 / 65 m
YUAN GU HAI,-,-,,20.0 m,-,3 days ago,9806885 / 563057400,9V5553,Singapore,361 / 65 m
YUAN HE HAI,,,,11.8 m,-,2 days ago,9806873 / 563045200,9V5551,Singapore,362 / 65 m
YUAN HUA HAI,-,-,223.2° / 9.7 kn,20.4 m,-,24 hours ago,9806940 / 563093200,9V5559,Singapore,362 / 65 m
PACIFIC AUSPICE,,,,12.6 m,-,6 days ago,9807061 / 477244800,VRRK3,Hong Kong,362 / 65 m
PACIFIC PROSPERITY,,,,11.9 m,-,7 days ago,9807059 / 477184100,VRRJ9,Hong Kong,362 / 65 m
ORE SHANGHAI,-,-,,20.3 m,-,43 days ago,9815214 / 477232900,VRRL6,Hong Kong,362 / 65 m
PACIFIC EXCELLENCE,-,-,,20.6 m,-,27 days ago,9807009 / 477286900,VRRI8,Hong Kong,362 / 65 m
ORE SHENZHEN,,,,12.8 m,-,9 days ago,9807695 / 477168700,VRRL2,Hong Kong,362 / 65 m
ORE GUANGZHOU,-,-,,13.0 m,Under way,0 min ago,9807700 / 477184800,VRRL3,Hong Kong,362 / 65 m
ORE HONG KONG,,,,20.8 m,-,22 days ago,9815238 / 477162700,VRRK5,Hong Kong,362 / 65 m
ORE ZHANJIANG,-,-,,21.0 m,-,12 days ago,9807750 / 477312500,VRRL8,Hong Kong,362 / 65 m
ORE TIANJIN,-,-,,12.6 m,-,8 days ago,9807023 / 477153600,VRRK6,Hong Kong,362 / 65 m
ORE DALIAN,-,-,175.6° / 0.0 kn,20.7 m,-,3 days ago,9807035 / 477202100,VRRK9,Hong Kong,362 / 65 m
ORE XIAMEN,,,,21.0 m,-,4 days ago,9807047 / 477237500,VRRL5,Hong Kong,362 / 65 m
YUAN JIN HAI,-,-,,20.0 m,-,20 days ago,9806914 / 563072400,9V5556,Singapore,361 / 65 m
PACIFIC FLOURISH,-,-,,11.4 m,-,23 days ago,9807736 / 477176600,VRRJ7,Hong Kong,362 / 65 m
