Vessel Name,Predicted ETA,Distance / Time,Course / Speed,Current draught,Navigation Status,Position received,IMO / MMSI,Callsign,Flag,Length / Beam,IMO
ONE MAGDALENA,-,-,329.8° / 6.2 kn,11.7 m,Under way,1 min ago,9937347 / 477809500,VRUN5,Hong Kong,330 / 48 m,9937347
ONE ORINOCO,-,-,107° / 0.0 kn,12.1 m,Moored,2 min ago,9937311 / 477836900,VRUN3,Hong Kong,330 / 48 m,9937311
ZIM USA,,,90.5° / 19.8 kn,14.8 m,-,5 days ago,9945473 / 477842400,VRUN2,Hong Kong,330 / 48 m,9945473
BW PAVILIONARANTHERA,,,187.1° / 14.4 kn,9.8 m,-,40 hours ago,9850678 / 563104600,9V6329,Singapore,295 / 46 m,9850678
BW MAGNOLIA,-,-,,9.3 m,-,6 days ago,9850666 / 563092200,9V6328,Singapore,295 / 46 m,9850666
GASLOG HONGKONG,-,-,,9.4 m,Under way,2 min ago,9748904 / 310773000,ZCEV8,Bermuda,290 / 46 m,9748904
COSTA PACIFICA,-,-,,8.3 m,-,3 days ago,9378498 / 247258100,ICJA,Italy,281 / 44 m,9378498
COSCO AFRICA,-,-,,13.6 m,Moored,2 min ago,9345439 / 370188000,3ERX3,Panama,349 / 46 m,9345439
COSCO AMERICA,,,,10.2 m,-,5 days ago,9345427 / 352631000,3EPH4,Panama,349 / 46 m,9345427
COSCO EUROPE,-,-,,14.0 m,-,10 days ago,9345415 / 354886000,3EOC5,Panama,349 / 46 m,9345415
COSCO ASIA,,,,14.4 m,-,2 days ago,9345403 / 356581000,3ELQ8,Panama,349 / 46 m,9345403
KOTA PAHLAWAN,,,,12.8 m,-,18 hours ago,9786712 / 563033800,9V5293,Singapore,330 / 48 m,9786712
KOTA PELANGI,-,-,,11.6 m,-,7 days ago,9786748 / 563042400,9V5296,Singapore,330 / 48 m,9786748
FLEX ARTEMIS,-,-,285.7° / 4.6 kn,11.2 m,Under way,1 min ago,9851634 / 538008816,V7A2793,Marshall Islands,295 / 46 m,9851634
FLEX FREEDOM,-,-,,11.5 m,-,3 days ago,9862308 / 538008814,V7A2791,Marshall Islands,295 / 46 m,9862308
FLEX RESOLUTE,-,-,,10.9 m,-,19 hours ago,9851646 / 538008815,V7A2792,Marshall Islands,295 / 46 m,9851646
BW TULIP,-,-,,11.2 m,-,13 days ago,9758064 / 563041600,9V5406,Singapore,295 / 46 m,9758064
BW LILAC,,,,9.3 m,Under way,5 min ago,9758076 / 248587000,9HA4715,Malta,295 / 46 m,9758076
BW PAVILION ARANDA,-,-,,10.9 m,-,13 days ago,9792606 / 563082400,9V6330,Singapore,295 / 46 m,9792606
EAST ENERGY,-,-,,10.0 m,-,6 days ago,9216298 / 306431000,PJC7,Curacao,288 / 48 m,9216298
LNG SOKOTO,,,,10.0 m,-,39 hours ago,9216303 / 310378000,ZCDE4,Bermuda,288 / 48 m,9216303
FSU LNG CAP LOPEZ,-,-,,8.8 m,Moored,0 min ago,9241267 / 376812000,J8B6647,St Vincent & Grenadines,288 / 49 m,9241267
GIGIRA LAITEBO,,,,9.8 m,-,9 days ago,9360922 / 309415000,C6XC7,Bahamas,298 / 46 m,9360922
SPIRIT OF HELA,-,-,153° / 8.2 kn,9.9 m,-,39 days ago,9361639 / 311013700,C6XM2,Bahamas,298 / 46 m,9361639
EMEI,-,-,,9.4 m,-,25 hours ago,9958640 / 477922500,VRVU9,Hong Kong,295 / 45 m,9958640
HUASHAN,,,,11.5 m,Under way,1 min ago,9958652 / 477945600,VRVU8,Hong Kong,295 / 45 m,9958652
COSTA SERENA,-,-,,8.3 m,Under way,37 min ago,9343132 / 247187600,ICAZ,Italy,290 / 44 m,9343132
GASLOG HOUSTON,,,,9.7 m,Under way,2 hours ago,9748899 / 310772000,ZCEV7,Bermuda,290 / 46 m,9748899
ORION BOHEMIA,-,-,,11.0 m,-,23 hours ago,9902926 / 228451900,FMXE,France,299 / 46 m,9902926
SM BLUEBIRD,,,,9.3 m,-,46 hours ago,9902914 / 352001583,3E3651,Panama,299 / 46 m,9902914
LNG PROSPERITY,-,-,,11.0 m,Moored,2 min ago,9902938 / 636021084,5LCE8,Liberia,299 / 46 m,9902938
SM ALBATROSS,,,,11.0 m,-,11 days ago,9902902 / 352001378,3E2134,Panama,299 / 46 m,9902902
LNG HARMONY,,,,8.9 m,-,8 days ago,9917555 / 636021083,5LCE7,Liberia,299 / 46 m,9917555
ORION JESSICA,-,-,156° / 12.8 kn,9.0 m,-,39 hours ago,9917543 / 256512000,9HA5869,Malta,299 / 46 m,9917543
WUDANG,-,-,266.9° / 1.5 kn,9.1 m,-,5 days ago,9915909 / 477846500,VRUU6,Hong Kong,295 / 45 m,9915909
KUNLUN,-,-,,9.0 m,-,3 days ago,9915911 / 477885400,VRUU7,Hong Kong,295 / 45 m,9915911
ENERGY INTELLIGENCE,-,-,,11.4 m,Under way,0 min ago,9881201 / 538008876,V7A2860,Marshall Islands,295 / 46 m,9881201
ENERGY ENDEAVOUR,-,-,,11.6 m,-,6 days ago,9854624 / 538008879,V7A2863,Marshall Islands,295 / 46 m,9854624
ENERGY INTEGRITY,-,-,,11.3 m,-,2 days ago,9859739 / 249044000,9HA6083,Malta,295 / 46 m,9859739
ENERGY PACIFIC,-,-,,9.2 m,Under way,1 min ago,9854612 / 538008878,V7A2862,Marshall Islands,295 / 46 m,9854612
QUEEN ANNE,-,-,,8.1 m,Moored,0 min ago,9839399 / 310835000,ZCHE5,Bermuda,323 / 40 m,9839399
KOTA PURI,-,-,,14.2 m,Under way,0 min ago,9793959 / 477233200,VRSB5,Hong Kong,330 / 48 m,9793959
KOTA PUSAKA,,,,11.9 m,-,2 days ago,9793961 / 477286500,VRSB2,Hong Kong,330 / 48 m,9793961
SHAOLIN,-,-,183.4° / 18.0 kn,11.0 m,Under way,8 hours ago,9915894 / 477836100,VRUU5,Hong Kong,295 / 45 m,9915894
SM KESTREL,-,-,,5.0 m,Moored,1 min ago,9917579 / 352002925,3E4685,Panama,299 / 46 m,9917579
EXTREMADURA KNUTSEN,-,-,,9.0 m,-,13 days ago,9918157 / 228420800,FMRS,France,299 / 47 m,9918157
MALAGA KNUTSEN,-,-,,12.1 m,-,6 days ago,9904182 / 228420900,FMRT,France,299 / 47 m,9904182
HUELVA KNUTSEN,-,-,,11.1 m,-,6 days ago,9904209 / 259148000,LARB8,Norway,299 / 47 m,9904209
FERROL KNUTSEN,-,-,,11.2 m,Under way,9 hours ago,9918145 / 228420700,FMRR,France,299 / 47 m,9918145
SANTANDER KNUTSEN,,,,11.4 m,Under way,6 hours ago,9904170 / 259147000,LAQZ8,Norway,299 / 47 m,9904170
NANTES KNUTSEN,,,,11.2 m,-,43 hours ago,9926714 / 228444600,FMVT,France,299 / 47 m,9926714
PARIS KNUTSEN,-,-,,11.6 m,-,18 days ago,9946350 / 228444700,FMVU,France,299 / 47 m,9946350
ALICANTE KNUTSEN,-,-,,12.1 m,-,38 days ago,9904194 / 228420600,FMRQ,France,299 / 47 m,9904194
BEIDOU STAR,-,-,,11.0 m,-,14 days ago,9613159 / 477314400,VROK7,Hong Kong,290 / 47 m,9613159
SOUTHERN CROSS,,,,9.6 m,-,2 days ago,9613147 / 477476100,VRNU9,Hong Kong,290 / 47 m,9613147
KUMUL,-,-,,11.6 m,-,24 days ago,9613161 / 477588600,VROL2,Hong Kong,290 / 47 m,9613161
PAPUA,-,-,,11.7 m,-,28 days ago,9613135 / 477518900,VRNH4,Hong Kong,290 / 45 m,9613135
LECH KACZYNSKI,-,-,,9.0 m,-,4 days ago,9922976 / 228421600,FMRU,France,299 / 46 m,9922976
GRAZYNA GESICKA,-,-,,9.6 m,-,33 hours ago,9922988 / 228421700,FMRV,France,299 / 46 m,9922988
IGNACY LUKASIEWICZ,,,,9.4 m,Under way,1 min ago,9946398 / 228432800,FMTR,France,299 / 46 m,9946398
GORDONWATERS KNUTSEN,-,-,,11.4 m,Under way,1 hour ago,9946374 / 228432600,FMTP,France,299 / 46 m,9946374
MARVEL HAWK,-,-,,9.2 m,Under way,1 min ago,9760770 / 563063200,9V5097,Singapore,293 / 46 m,9760770
MARVEL KITE,-,-,324.8° / 0.0 kn,9.5 m,Moored,3 min ago,9760782 / 563069500,9V5099,Singapore,293 / 46 m,9760782
MARVEL FALCON,-,-,,9.2 m,-,10 days ago,9760768 / 563048500,9V5057,Singapore,293 / 46 m,9760768
ANTWERP,,,,13.8 m,-,7 days ago,9398448 / 636014220,A8SI6,Liberia,349 / 46 m,9398448
TIANJIN,,,,9.2 m,-,14 hours ago,9398462 / 636014224,A8SJ2,Liberia,349 / 46 m,9398462
ROTTERDAM,,,284° / 17.9 kn,14.4 m,-,4 days ago,9398450 / 636014222,A8SI8,Liberia,349 / 46 m,9398450
MAERSK YUKON,-,-,,10.8 m,-,8 days ago,9398436 / 563090200,9V6458,Singapore,349 / 46 m,9398436
HMM BLESSING,,,,12.2 m,Under way,2 min ago,9742170 / 440117000,D7EW,Korea,330 / 48 m,9742170
HMM PROMISE,-,-,,13.2 m,Moored,1 min ago,9742168 / 440112000,D7EV,Korea,330 / 48 m,9742168
PUTERI SABAH,,,,8.6 m,Under way,1 min ago,9975521 / 636024082,5LQW9,Liberia,290 / 46 m,9975521
HYUNDAI TECHNOPIA,-,-,,9.1 m,At anchor,10 min ago,9155145 / 538009552,V7A4881,Marshall Islands,288 / 48 m,9155145
HYUNDAI COSMOPIA,-,-,19.9° / 0.1 kn,9.8 m,-,14 hours ago,9155157 / 538009551,V7A4880,Marshall Islands,289 / 50 m,9155157
PARANAGUA EXPRESS,,,,11.3 m,Under way,0 min ago,9786724 / 563034800,9V5294,Singapore,330 / 48 m,9786724
SEASPAN OSPREY,,,212.7° / 17.7 kn,13.4 m,Under way,1 min ago,9786736 / 477539600,VRTG6,Hong Kong,330 / 48 m,9786736
KOOL BALTIC,-,-,136.3° / 0.0 kn,9.6 m,At anchor,1 min ago,9654878 / 636016376,D5FW4,Liberia,300 / 46 m,9654878
SEASPAN RAPTOR,-,-,,10.3 m,-,7 days ago,9793911 / 477159700,VRRQ7,Hong Kong,330 / 48 m,9793911
SALVADOR EXPRESS,-,-,,12.3 m,-,26 hours ago,9793894 / 477154300,VRRN7,Hong Kong,330 / 48 m,9793894
MSC SIYA B,,,239.2° / 16.9 kn,12.7 m,-,21 hours ago,9793947 / 255806502,CQEW3,Portugal (Madeira),330 / 48 m,9793947
NAVEGANTES EXPRESS,,,,14.3 m,-,7 days ago,9793935 / 563105800,9V6819,Singapore,330 / 48 m,9793935
SEASPAN HARRIER,-,-,,14.3 m,Under way,1 min ago,9793923 / 477159600,VRRQ8,Hong Kong,330 / 48 m,9793923
SEASPAN FALCON,,,,14.6 m,Under way,8 hours ago,9793909 / 477154200,VRRN8,Hong Kong,330 / 48 m,9793909
MARAN GAS PSARA,-,-,,11.4 m,Under way,0 min ago,9844863 / 241692000,SVDG6,Greece,295 / 46 m,9844863
GLOBAL ENERGY,-,-,,11.1 m,-,3 days ago,9845013 / 538008899,V7A2886,Marshall Islands,295 / 46 m,9845013
GLOBAL STAR,-,-,,9.8 m,-,4 days ago,9859741 / 538009028,V7A4216,Marshall Islands,295 / 46 m,9859741
WOODSIDE REES WITHER,-,-,345.9° / 17.6 kn,11.6 m,-,4 days ago,9810367 / 241669000,SVDF4,Greece,295 / 46 m,9810367
WOODSIDECHARLESALLEN,-,-,,11.9 m,-,3 days ago,9859753 / 241712000,SVDI5,Greece,300 / 55 m,9859753
MINERVA LIMNOS,-,-,,11.5 m,-,2 days ago,9854375 / 215889000,9HA5355,Malta,295 / 46 m,9854375
MINERVA PSARA,-,-,,9.5 m,Under way,5 hours ago,9854363 / 215865000,9HA5338,Malta,295 / 46 m,9854363
MARAN GAS ANDROS,-,-,,11.4 m,-,8 days ago,9810379 / 241670000,SVDF5,Greece,294 / 43 m,9810379
MARAN GAS HYDRA,-,-,,11.1 m,At anchor,7 hours ago,9767962 / 241638000,SVDD4,Greece,295 / 46 m,9767962
MARAN GAS CHIOS,-,-,,9.7 m,-,5 days ago,9753014 / 241636000,SVDD2,Greece,295 / 46 m,9753014
WOODSIDE CHANEY,-,-,,9.7 m,Under way,0 min ago,9753026 / 241637000,SVDD3,Greece,295 / 46 m,9753026
MARAN GAS SPETSES,-,-,,9.5 m,-,26 hours ago,9767950 / 241579000,SVCS9,Greece,295 / 46 m,9767950
APL LE HAVRE,,,,14.9 m,-,3 days ago,9461881 / 566407000,9V9375,Singapore,354 / 46 m,9461881
APL QINGDAO,,,143.6° / 15.1 kn,11.7 m,-,14 days ago,9461893 / 215558000,9HA5178,Malta,354 / 46 m,9461893
APL CHONGQING,,,88.8° / 14.1 kn,14.0 m,-,6 days ago,9461867 / 566318000,9V9373,Singapore,349 / 45 m,9461867
APL GWANGYANG,-,-,307.1° / 0.1 kn,13.9 m,At anchor,1 min ago,9461879 / 566319000,9V9374,Singapore,349 / 46 m,9461879
MSC ALANYA,,,179° / 17.8 kn,13.4 m,Under way,8 hours ago,9785483 / 636021123,5LCK3,Liberia,328 / 48 m,9785483
MSC CASSANDRE,,,,12.9 m,-,24 hours ago,9785471 / 636021364,5LDP3,Liberia,328 / 48 m,9785471
MSC CAROLE,-,-,,13.2 m,Moored,1 min ago,9785445 / 636021012,5LBU9,Liberia,328 / 48 m,9785445
MSC RAYSHMI,-,-,,11.0 m,Moored,11 min ago,9785457 / 636021122,5LCK2,Liberia,328 / 48 m,9785457
MSC EUGENIA,,,,14.8 m,Under way,5 min ago,9785469 / 636021363,5LDP2,Liberia,328 / 48 m,9785469
MARIA ENERGY,,,,11.9 m,-,4 days ago,9659725 / 636017445,D5KZ6,Liberia,289 / 46 m,9659725
CARNIVAL SPLENDOR,-,-,,8.6 m,Under way,2 min ago,9333163 / 372808000,3EUS,Panama,291 / 44 m,9333163
RUBY PRINCESS,,,308.2° / 16.2 kn,8.6 m,Under way,1 hour ago,9378462 / 310567000,ZCDY2,Bermuda,288 / 50 m,9378462
EMERALD PRINCESS,,,,8.8 m,-,13 hours ago,9333151 / 310531000,ZCDP8,Bermuda,289 / 36 m,9333151
CROWN PRINCESS,-,-,,8.9 m,-,3 days ago,9293399 / 310500000,ZCDM6,Bermuda,290 / 50 m,9293399
MUREX,-,-,,9.5 m,-,6 days ago,9705641 / 311000475,C6CH7,Bahamas,295 / 46 m,9705641
MACOMA,-,-,,9.4 m,-,3 days ago,9705653 / 311000472,C6CH4,Bahamas,295 / 46 m,9705653
MEGARA,-,-,,11.3 m,-,5 days ago,9770945 / 311000478,C6CI2,Bahamas,295 / 46 m,9770945
MYRINA,-,-,,11.4 m,-,12 days ago,9770933 / 311000477,C6CH9,Bahamas,295 / 46 m,9770933
MAGDALA,-,-,,10.7 m,-,27 hours ago,9770921 / 311000476,C6CH8,Bahamas,295 / 46 m,9770921
KANDLA EXPRESS,-,-,,10.8 m,At anchor,1 min ago,9408841 / 636093294,D5OA5,Liberia,350 / 46 m,9408841
XIAMEN EXPRESS,-,-,,10.0 m,Moored,0 min ago,9630420 / 477790500,VRNY5,Hong Kong,336 / 48 m,9630420
LAEM CHABANG EXPRESS,-,-,5.5° / 0.5 kn,11.7 m,Under way,4 hours ago,9768007 / 477166700,VRRQ4,Hong Kong,336 / 48 m,9768007
VUNG TAU EXPRESS,-,-,,13.6 m,-,20 hours ago,9767998 / 477157700,VRRP7,Hong Kong,337 / 48 m,9767998
HAIPHONG EXPRESS,,,,15.7 m,-,2 days ago,9778129 / 477166300,VRRQ5,Hong Kong,336 / 48 m,9778129
YOKOHAMA EXPRESS,-,-,92.1° / 18.9 kn,14.5 m,-,4 days ago,9630418 / 477699600,VRNY4,Hong Kong,100 / 30 m,9630418
MARAN GAS PERICLES,-,-,,11.7 m,-,20 hours ago,9709489 / 241424000,SVCI8,Greece,290 / 46 m,9709489
MARAN GAS ULYSSES,-,-,124.1° / 17.7 kn,10.9 m,-,3 days ago,9709491 / 241404000,SVCH7,Greece,290 / 47 m,9709491
MARAN GAS AGAMEMNON,-,-,,11.5 m,-,10 days ago,9682590 / 241405000,SVCH6,Greece,290 / 46 m,9682590
MARAN GAS LETO,-,-,,11.5 m,-,22 hours ago,9682576 / 241355000,SVCC3,Greece,290 / 46 m,9682576
MARAN GAS HECTOR,-,-,,11.5 m,Under way,7 min ago,9682605 / 241425000,SVCI7,Greece,290 / 46 m,9682605
MARAN GAS ACHILLES,-,-,,11.5 m,-,4 days ago,9682588 / 241365000,SVCD3,Greece,290 / 46 m,9682588
FLEX COURAGEOUS,-,-,107.1° / 9.9 kn,11.3 m,Under way,1 min ago,9825439 / 538008206,V7A2081,Marshall Islands,295 / 46 m,9825439
FLEX CONSTELLATION,-,-,,10.9 m,-,47 hours ago,9825427 / 538008205,V7A2080,Marshall Islands,295 / 47 m,9825427
NAVIOS UNISON,,,,11.1 m,-,3 days ago,9408853 / 636018069,D5OA4,Liberia,350 / 46 m,9408853
NAVIOS CONSTELLATION,,,84.7° / 18.3 kn,13.6 m,-,12 days ago,9408877 / 636018038,D5NX3,Liberia,350 / 46 m,9408877
NHAVA SHEVA EXPRESS,,,,10.0 m,-,9 days ago,9406738 / 636093293,D5NX2,Liberia,350 / 46 m,9406738
MUNDRA EXPRESS,-,-,,15.1 m,-,9 days ago,9408865 / 636093292,D5NV8,Liberia,349 / 45 m,9408865
CESI QINGDAO,,,,11.4 m,-,3 days ago,9672832 / 477584200,VRPI3,Hong Kong,290 / 46 m,9672832
CESI LIANYUNGANG,-,-,,9.3 m,-,6 days ago,9672818 / 477151600,VRPI7,Hong Kong,290 / 45 m,9672818
CESI GLADSTONE,-,-,,11.0 m,-,2 days ago,9672820 / 477348600,VRPI2,Hong Kong,290 / 45 m,9672820
CESI WENZHOU,-,-,,9.3 m,At anchor,1 min ago,9694751 / 477121700,VRPI6,Hong Kong,290 / 46 m,9694751
CESI BEIHAI,,,98.1° / 18.4 kn,9.3 m,-,9 days ago,9672844 / 477884800,VRPI4,Hong Kong,289 / 45 m,9672844
MARAN GAS ANTIBES,-,-,,9.3 m,-,3 days ago,9941520 / 241891000,SVDV6,Greece,293 / 46 m,9941520
MARAN GAS MARSEILLE,-,-,,9.0 m,Moored,19 min ago,9924869 / 241840000,SVDS6,Greece,293 / 46 m,9924869
COSTA FASCINOSA,-,-,,8.2 m,Moored,0 min ago,9479864 / 247313500,ICPO,Italy,290 / 36 m,9479864
COSTA FAVOLOSA,-,-,,8.3 m,-,26 hours ago,9479852 / 247311100,ICPK,Italy,290 / 44 m,9479852
SEAPEAK BAHRAIN,-,-,,9.4 m,-,5 days ago,9771080 / 408919000,A9LV,Bahrain,295 / 46 m,9771080
SEAPEAK CREOLE,,,,11.3 m,Under way,10 hours ago,9681687 / 311000246,C6BF3,Bahamas,295 / 46 m,9681687
SEAPEAK OAK,,,,11.1 m,-,12 hours ago,9681699 / 311000247,C6BF4,Bahamas,295 / 46 m,9681699
SEAPEAK VANCOUVER,-,-,251.7° / 14.3 kn,9.5 m,-,5 days ago,9721401 / 311000520,C6CN5,Bahamas,291 / 46 m,9721401
MSC YASHI B,,,,13.1 m,Under way,0 min ago,9778090 / 255806032,CQIP7,Portugal (Madeira),330 / 48 m,9778090
MSC SHUBA B,-,-,,13.9 m,-,15 hours ago,9778076 / 255806027,CQIP2,Portugal (Madeira),330 / 48 m,9778076
MSC MADHU B,,,,14.5 m,Under way,3 min ago,9778088 / 255806031,CQIP6,Portugal (Madeira),330 / 48 m,9778088
MSC SHREYA B,,,,11.3 m,Under way,16 min ago,9778105 / 255806028,CQIP3,Portugal (Madeira),330 / 48 m,9778105
MSC NITYA B,-,-,,14.3 m,At anchor,1 min ago,9778117 / 255806029,CQIP4,Portugal (Madeira),330 / 48 m,9778117
MOUNT NOREFJELL,-,-,,10.2 m,-,3 days ago,9939008 / 636021369,5LDP8,Liberia,300 / 50 m,9939008
MOUNT MATTERHORN,-,-,,18.0 m,-,9 days ago,9945629 / 636021373,5LDQ4,Liberia,300 / 50 m,9945629
MOUNT ELBRUS,-,-,,9.5 m,-,2 days ago,9945667 / 636021377,5LDQ8,Liberia,299 / 50 m,9945667
FLEX ENTERPRISE,-,-,,9.4 m,-,2 days ago,9762273 / 538010101,V7A5601,Marshall Islands,295 / 46 m,9762273
FLEX ENDEAVOUR,-,-,,11.0 m,-,31 hours ago,9762261 / 538010102,V7A5602,Marshall Islands,294 / 46 m,9762261
SEASPAN BEYOND,,,,10.4 m,Under way,8 hours ago,9739678 / 477348300,VRPN8,Hong Kong,337 / 48 m,9739678
MAERSK GIBRALTAR,-,-,,13.0 m,-,6 days ago,9739692 / 477636200,VRPN6,Hong Kong,337 / 48 m,9739692
SEASPAN BRIGHTNESS,,,,14.6 m,-,6 days ago,9685346 / 477518600,VRNL9,Hong Kong,337 / 48 m,9685346
SEASPAN BRAVO,-,-,,13.8 m,Moored,1 min ago,9685322 / 477271900,VRNJ2,Hong Kong,337 / 48 m,9685322
SEASPAN BRILLIANCE,,,,12.2 m,-,6 days ago,9685334 / 477698700,VRNL2,Hong Kong,337 / 48 m,9685334
SEASPAN BENEFACTOR,,,,11.4 m,Under way,2 hours ago,9739666 / 477307900,VRPJ6,Hong Kong,337 / 48 m,9739666
MAERSK GUAYAQUIL,,,,14.6 m,Under way,1 min ago,9727871 / 477737800,VROS8,Hong Kong,337 / 48 m,9727871
SEASPAN BREEZE,,,,13.4 m,Under way,0 min ago,9685358 / 477127900,VRNL8,Hong Kong,337 / 48 m,9685358
SEASPAN BEAUTY,,,201.1° / 14.6 kn,10.4 m,Under way,7 hours ago,9713349 / 477478700,VROG7,Hong Kong,337 / 48 m,9713349
MAERSK GENOA,,,,14.9 m,-,3 days ago,9739680 / 477430600,VRPJ7,Hong Kong,337 / 48 m,9739680
SEASPAN BEACON,-,-,102.1° / 0.0 kn,14.9 m,-,9 days ago,9713337 / 477066700,VROB9,Hong Kong,337 / 48 m,9713337
SEASPAN BELLWETHER,,,,13.1 m,-,8 days ago,9713363 / 477181200,VROG8,Hong Kong,337 / 48 m,9713363
SEASPAN BELIEF,-,-,,14.5 m,Moored,5 min ago,9713351 / 477548300,VROD3,Hong Kong,337 / 48 m,9713351
MAERSK GUATEMALA,,,,14.6 m,Under way,0 min ago,9713375 / 477737700,VROS7,Hong Kong,337 / 48 m,9713375
MARAN GAS OLYMPIAS,-,-,,9.4 m,-,7 days ago,9732371 / 241452000,SVCL4,Greece,295 / 46 m,9732371
MARAN GAS AMPHIPOLIS,-,-,,9.9 m,-,6 days ago,9701217 / 241414000,SVCI3,Greece,295 / 46 m,9701217
MARAN GAS VERGINA,-,-,,11.4 m,-,6 days ago,9732369 / 241467000,SVCM9,Greece,295 / 46 m,9732369
MARAN GAS ROXANA,-,-,,11.2 m,Moored,2 min ago,9701229 / 241415000,SVCI4,Greece,295 / 46 m,9701229
MEIN SCHIFF 7,-,-,,8.2 m,Moored,6 min ago,9851189 / 256750000,9HA5959,Malta,316 / 42 m,9851189
