Vessel Name,Predicted ETA,Distance / Time,Course / Speed,Current draught,Navigation Status,Position received,IMO / MMSI,Callsign,Flag,Length / Beam,IMO

NEW APEX,,,,9.3 m,Under way,4 min ago,9929106 / 352001786,3E2615,Panama,293 / 46 m,9929106
MARVEL SWAN,-,-,,11.3 m,Under way,9 hours ago,9880192 / 311001592,C6HX3,Bahamas,293 / 46 m,9880192
PACIFIC SUCCESS,-,-,,9.9 m,-,2 days ago,9903425 / 352002691,3E5005,Panama,293 / 46 m,9903425
ORION MONET,-,-,,9.5 m,-,12 days ago,9888766 / 228451800,FMXD,France,293 / 46 m,9888766
WOODSIDESCARLETIBIS,-,-,,9.1 m,Moored,1 hour ago,9975040 / 636023910,5LQA4,Liberia,299 / 47 m,9975040
LNG MEGREZ,-,-,,11.4 m,-,4 days ago,9834325 / 477345600,VRSQ9,Hong Kong,295 / 45 m,9834325
MU LAN,-,-,,9.2 m,-,43 hours ago,9878876 / 636021030,5LBX3,Liberia,294 / 45 m,9878876
LNG DUBHE,-,-,,9.9 m,Under way,3 min ago,9834296 / 477327900,VRRZ8,Hong Kong,295 / 47 m,9834296
LNG MERAK,,,,9.0 m,Under way,28 min ago,9834301 / 477345800,VRSF4,Hong Kong,295 / 45 m,9834301
LNG PHECDA,,,,9.2 m,Under way,0 min ago,9834313 / 477345700,VRSJ8,Hong Kong,295 / 45 m,9834313
GUI YING,-,-,306.4° / 16.1 kn,9.3 m,-,6 days ago,9878888 / 563138800,9V5659,Singapore,295 / 45 m,9878888
KINISIS,-,-,,9.5 m,-,16 days ago,9785158 / 636018011,D5NT9,Liberia,295 / 46 m,9785158
PATRIS,,,,11.2 m,-,18 days ago,9766889 / 636018010,D5NT8,Liberia,295 / 46 m,9766889
WEN CHENG,-,-,311° / 15.9 kn,9.7 m,-,7 days ago,9892121 / 477895800,VRVR6,Hong Kong,295 / 45 m,9892121
ONE PARANA,-,-,300° / 0.0 kn,12.7 m,Under way,1 min ago,9937335 / 477809400,VRUN6,Hong Kong,330 / 48 m,9937335
ZIM CANADA,-,-,133° / 19.4 kn,15.0 m,Under way,49 min ago,9945485 / 477842500,VRUN7,Hong Kong,330 / 48 m,9945485
ONE AMAZON,-,-,304.6° / 5.9 kn,9.9 m,Under way,3 hours ago,9937323 / 477842200,VRUN4,Hong Kong,330 / 48 m,9937323
