Vessel Name,Predicted ETA,Distance / Time,Course / Speed,Current draught,Navigation Status,Position received,IMO / MMSI,Callsign,Flag,Length / Beam,IMO
EVER LAMBENT,-,-,,9.6 m,-,10 days ago,9595436 / 235093569,2FRE8,United Kingdom (UK),335 / 46 m,9595436
EVER LUCKY,,,,14.2 m,Under way,9 hours ago,9604172 / 356407000,3FAE4,Panama,336 / 46 m,9604172
ROTTERDAM,,,,8.2 m,-,13 hours ago,9837470 / 245464000,PDGW,Netherlands,296 / 38 m,9837470
NIEUW STATENDAM,,,,8.3 m,Under way,12 hours ago,9767106 / 244140580,PBCO,Netherlands,299 / 40 m,9767106
KONINGSDAM,,,11.3° / 18.2 kn,8.2 m,Under way,1 min ago,9692557 / 244830547,PBGJ,Netherlands,299 / 40 m,9692557
ONE ORPHEUS,-,-,,13.9 m,Under way,0 min ago,9313008 / 563061300,9V5999,Singapore,336 / 46 m,9313008
MEIN SCHIFF 3,,,,8.2 m,-,24 hours ago,9641730 / 229090000,9HA3062,Malta,294 / 39 m,9641730
MEIN SCHIFF 4,,,,8.2 m,Under way,7 hours ago,9678408 / 229678000,9HA3513,Malta,294 / 39 m,9678408
FERAE AUSTRALIS,-,-,,9.0 m,-,42 hours ago,9869514 / 636019593,D5VF4,Liberia,300 / 48 m,9869514
FIDUM AUSTRALIS,,,,18.0 m,-,28 hours ago,9869526 / 636019594,D5VF5,Liberia,300 / 48 m,9869526
CAPE AMERICA,-,-,,9.8 m,-,8 days ago,9654751 / 564190000,9V2418,Singapore,300 / 48 m,9654751
CAPE EUROPE,-,-,,18.0 m,-,3 days ago,9654799 / 564318000,9V2427,Singapore,300 / 48 m,9654799
CAPE AUSTRALIA,,,,9.4 m,-,3 days ago,9654763 / 564196000,9V2419,Singapore,300 / 48 m,9654763
K. MUGUNGWHA,-,-,,8.8 m,At anchor,3 min ago,9373010 / 370612000,3ETM6,Panama,288 / 43 m,9373010
AL DAAYEN,,,322.4° / 16.5 kn,11.8 m,-,3 days ago,9325702 / 311133000,C6VF7,Bahamas,288 / 43 m,9325702
AL AREESH,-,-,41.7° / 2.4 kn,11.4 m,Under way,1 min ago,9325697 / 311038000,C6VF6,Bahamas,288 / 44 m,9325697
GUTHORM MAERSK,,,92.3° / 19.8 kn,15.2 m,-,6 days ago,9359040 / 477922100,VRVO4,Hong Kong,367 / 42 m,9359040
GUSTAV MAERSK,-,-,56.8° / 16.7 kn,13.1 m,-,9 days ago,9359038 / 477928700,VRVP3,Hong Kong,367 / 42 m,9359038
GERDA MAERSK,,,58.3° / 14.2 kn,10.5 m,Under way,1 hour ago,9359052 / 477895700,VRVO2,Hong Kong,367 / 42 m,9359052
GERNER MAERSK,-,-,,15.4 m,-,6 days ago,9359002 / 477891200,VRVO3,Hong Kong,367 / 43 m,9359002
GUNHILDE MAERSK,-,-,,12.1 m,-,4 days ago,9359026 / 477909700,VRVO5,Hong Kong,367 / 43 m,9359026
GUNDE MAERSK,-,-,,12.0 m,-,19 hours ago,9359014 / 477893700,VRVO9,Hong Kong,367 / 43 m,9359014
MEIN SCHIFF 6,,,,8.2 m,Under way,1 min ago,9753208 / 249660000,9HA4330,Malta,295 / 36 m,9753208
NYK ORION,-,-,275.9° / 0.0 kn,10.5 m,Moored,0 min ago,9312999 / 352822000,3EPU6,Panama,336 / 46 m,9312999
ONE OLYMPUS,,,,12.7 m,-,10 days ago,9312987 / 563048400,9VPQ7,Singapore,335 / 44 m,9312987
NYK OCEANUS,,,,14.0 m,-,2 days ago,9312975 / 351249000,3EMR8,Panama,336 / 46 m,9312975
LNG IMO,,,,11.4 m,Under way,3 min ago,9311581 / 310565000,ZCDT6,Bermuda,288 / 44 m,9311581
LNG KANO,-,-,,9.2 m,At anchor,2 min ago,9311567 / 310534000,ZCDT4,Bermuda,278 / 43 m,9311567
LNG LOKOJA,,,,9.2 m,Under way,15 min ago,9269960 / 310519000,ZCDT3,Bermuda,288 / 44 m,9269960
LNG ONDO,-,-,,9.0 m,Under way,4 min ago,9311579 / 310550000,ZCDT5,Bermuda,288 / 44 m,9311579
MEIN SCHIFF 5,-,-,,8.2 m,Moored,2 min ago,9753193 / 256235000,9HA3858,Malta,295 / 36 m,9753193
ONE HONG KONG,,,,11.0 m,Under way,1 min ago,9395161 / 355271000,3FKN5,Panama,336 / 46 m,9395161
ONE HAMBURG,,,,12.2 m,-,4 days ago,9395159 / 372724000,3FVW2,Panama,336 / 46 m,9395159
ONE HANNOVER,,,54.6° / 19.9 kn,12.4 m,-,6 days ago,9302138 / 372104000,3EIC8,Panama,336 / 46 m,9302138
ONE HAMMERSMITH,-,-,,11.1 m,Moored,0 min ago,9395147 / 354839000,3FQE8,Panama,336 / 46 m,9395147
ONE HARBOUR,-,-,,13.3 m,Moored,3 min ago,9302152 / 563244800,9VAT9,Singapore,336 / 46 m,9302152
ONE HUMBER,-,-,,13.7 m,-,25 hours ago,9302140 / 372038000,3EHZ5,Panama,336 / 46 m,9302140
ONE HENRY HUDSON,,,,12.6 m,-,6 days ago,9302176 / 370587000,3ETK4,Panama,336 / 46 m,9302176
GJERTRUD MAERSK,-,-,,10.6 m,Under way,1 min ago,9320233 / 220414000,OYGH2,Denmark,367 / 43 m,9320233
GUDRUN MAERSK,,,,12.4 m,Under way,0 min ago,9302877 / 220379000,OYAU2,Denmark,367 / 42 m,9302877
GEORG MAERSK,-,-,,11.7 m,-,17 days ago,9320257 / 220416000,OYGN2,Denmark,367 / 43 m,9320257
GERD MAERSK,-,-,,13.9 m,-,8 days ago,9320245 / 220415000,OYGM2,Denmark,367 / 43 m,9320245
GUNVOR MAERSK,,,239.8° / 13.0 kn,12.0 m,-,10 days ago,9302891 / 477124900,VRWO7,Hong Kong,367 / 42 m,9302891
GRETE MAERSK,-,-,,13.8 m,Under way,8 hours ago,9302889 / 220397000,OYCY2,Denmark,367 / 42 m,9302889
AMALI,-,-,,11.4 m,-,7 days ago,9496317 / 508111132,V8V3103,Brunei,284 / 44 m,9496317
ARKAT,-,-,,9.4 m,Under way,2 hours ago,9496305 / 508111131,V8V3101,Brunei,284 / 44 m,9496305
GASLOG SKAGEN,-,-,,9.8 m,At anchor,16 min ago,9626285 / 310664000,ZCEJ7,Bermuda,285 / 43 m,9626285
GASLOG SYDNEY,-,-,,11.6 m,-,2 days ago,9626273 / 310657000,ZCEJ8,Bermuda,285 / 44 m,9626273
GASLOG SANTIAGO,,,,11.4 m,-,36 hours ago,9600530 / 310652000,ZCEH5,Bermuda,285 / 43 m,9600530
KPS ONUR SULTAN,-,-,,9.2 m,Under way,1 min ago,9047441 / 636016953,D5IO8,Liberia,296 / 46 m,9047441
GASLOG SHANGHAI,-,-,,9.5 m,-,3 days ago,9600528 / 310644000,ZCEH4,Bermuda,285 / 43 m,9600528
GASLOG SARATOGA,-,-,,9.0 m,At anchor,11 hours ago,9638903 / 310696000,ZCEN3,Bermuda,285 / 43 m,9638903
GASLOG SALEM,,,28.5° / 16.8 kn,11.5 m,-,25 hours ago,9638915 / 310699000,ZCEN7,Bermuda,285 / 44 m,9638915
GASLOG SEATTLE,-,-,,11.3 m,-,14 hours ago,9634086 / 310669000,ZCEK5,Bermuda,285 / 44 m,9634086
SHEN HAI,-,-,,11.8 m,Under way,7 hours ago,9583677 / 477413600,VRID2,Hong Kong,291 / 44 m,9583677
TANGGUH FOJA,,,,9.1 m,-,4 days ago,9349007 / 370168000,3ERT7,Panama,285 / 43 m,9349007
TANGGUH PALUNG,-,-,,10.0 m,At anchor,1 hour ago,9355379 / 370766000,H9NH,Panama,285 / 43 m,9355379
TANGGUH JAYA,,,,11.2 m,-,6 days ago,9349019 / 370502000,3ETB6,Panama,285 / 43 m,9349019
LNG OGUN,-,-,,8.7 m,Under way,0 min ago,9322815 / 310542000,ZCDW3,Bermuda,285 / 44 m,9322815
LNG BORNO,,,,11.4 m,-,6 days ago,9322803 / 310543000,ZCDW4,Bermuda,285 / 44 m,9322803
DAPENG SUN,,,,11.6 m,-,29 hours ago,9308479 / 477985700,VRDJ3,Hong Kong,291 / 43 m,9308479
DAPENG STAR,-,-,,9.5 m,-,3 days ago,9369473 / 477614400,VRFT7,Hong Kong,292 / 44 m,9369473
GASLOG SINGAPORE,-,-,192.2° / 0.0 kn,9.0 m,Moored,1 min ago,9355604 / 310594000,ZCDZ3,Bermuda,285 / 43 m,9355604
NYK VIRGO,-,-,,13.6 m,-,6 days ago,9312810 / 563025600,9V5456,Singapore,338 / 46 m,9312810
NYK VENUS,-,-,,13.8 m,Under way,1 min ago,9312793 / 372512000,3EJG5,Panama,338 / 45 m,9312793
NYK VESTA,,,,12.6 m,Under way,50 min ago,9312808 / 372531000,3EJI4,Panama,338 / 46 m,9312808
NYK VEGA,,,,13.2 m,-,4 days ago,9312781 / 372218000,3EIJ5,Panama,338 / 45 m,9312781
GASLOG SAVANNAH,-,-,260° / 15.1 kn,9.8 m,-,7 days ago,9352860 / 310583000,ZCDZ2,Bermuda,285 / 43 m,9352860
MSC ELMA,,,3.2° / 17.9 kn,8.0 m,Under way,41 min ago,9735218 / 255805866,CQZM,Portugal (Madeira),300 / 48 m,9735218
MSC DESIREE,-,-,179.5° / 17.0 kn,8.8 m,-,62 days ago,9745665 / 255805868,CQZO,Portugal (Madeira),299 / 48 m,9745665
MSC ROMANE,-,-,130° / 0.0 kn,9.9 m,Moored,5 min ago,9745653 / 255805867,CQZN,Portugal (Madeira),299 / 48 m,9745653
MSC PALAK,,,,10.0 m,-,15 hours ago,9735206 / 255805865,CQZL,Portugal (Madeira),299 / 48 m,9735206
MSC GIULIA,,,143.1° / 11.5 kn,13.4 m,-,17 hours ago,9770737 / 255805869,CQZP,Portugal (Madeira),299 / 48 m,9770737
BLUE DRAGON 1,-,-,,9.5 m,At anchor,4 min ago,9315393 / 352003868,3E6112,Panama,286 / 44 m,9315393
KPS LNGT ANATOLIA,-,-,,6.8 m,-,75 days ago,9306495 / 636021105,5LCH7,Liberia,290 / 43 m,9306495
LNG ALLIANCE,-,-,,7.3 m,At anchor,4 hours ago,9320075 / 538010704,V7A7289,Marshall Islands,290 / 43 m,9320075
LNG BENUE,,,,9.9 m,Under way,1 min ago,9267015 / 310495000,ZCDQ3,Bermuda,285 / 43 m,9267015
LNG ENUGU,-,-,,8.7 m,-,18 hours ago,9266994 / 310482000,ZCDM5,Bermuda,285 / 43 m,9266994
LNG OYO,,,,9.4 m,-,43 hours ago,9267003 / 310487000,ZCDN4,Bermuda,285 / 43 m,9267003
LNG RIVER ORASHI,,,,9.4 m,Under way,2 hours ago,9266982 / 310447000,ZCDL8,Bermuda,285 / 43 m,9266982
K.JASMINE,,,,9.7 m,-,3 days ago,9373008 / 352906000,3EPQ5,Panama,285 / 43 m,9373008
MARAN GAS ASCLEPIUS,-,-,,11.3 m,-,33 hours ago,9302499 / 240386000,SVMN,Greece,285 / 43 m,9302499
AL JASSASIYA,-,-,,9.3 m,-,4 days ago,9324435 / 240615000,SVCC,Greece,285 / 43 m,9324435
UMMERA,-,-,,9.5 m,At anchor,4 hours ago,9308431 / 538011593,V7A3175,Marshall Islands,285 / 44 m,9308431
SIMAISMA,-,-,,11.0 m,Under way,8 min ago,9320386 / 240486000,SWSP,Greece,285 / 44 m,9320386
MARAN GAS CORONIS,-,-,322.6° / 0.0 kn,9.2 m,Under way,52 min ago,9331048 / 240639000,SXLQ,Greece,285 / 43 m,9331048
ENERGOS MARIA,-,-,,9.2 m,Under way,12 hours ago,9320374 / 538002609,V7KE3,Marshall Islands,285 / 43 m,9320374
ENERGOS GRAND,-,-,,9.5 m,-,42 days ago,9303560 / 538003804,V7TH3,Marshall Islands,285 / 43 m,9303560
TANGGUH TOWUTI,-,-,,9.0 m,-,70 days ago,9325893 / 563214000,9V7630,Singapore,285 / 43 m,9325893
TANGGUH BATUR,-,-,256° / 0.0 kn,9.2 m,-,130 days ago,9334284 / 564090000,9V7631,Singapore,285 / 43 m,9334284
SAN FELIX,,,121.5° / 14.6 kn,12.4 m,-,5 days ago,9698630 / 538005733,V7GN9,Marshall Islands,300 / 48 m,9698630
SAN FELIPE,-,-,186.3° / 0.0 kn,11.5 m,Moored,3 min ago,9698628 / 538005732,V7GN7,Marshall Islands,300 / 48 m,9698628
LNG CROATIA,-,-,258° / 0.0 kn,9.9 m,Moored,7 min ago,9256767 / 238048000,9A2575,Croatia,280 / 43 m,9256767
ONE HOUSTON,-,-,144° / 16.7 kn,12.0 m,Under way,0 min ago,9566382 / 373485000,3FLC7,Panama,335 / 46 m,9566382
ONE HELSINKI,,,51° / 15.4 kn,13.7 m,-,5 days ago,9588081 / 373119000,3FIW4,Panama,335 / 46 m,9588081
ONE HANGZHOU BAY,-,-,153° / 0.0 kn,10.2 m,Moored,2 min ago,9566394 / 373932000,3FMK3,Panama,335 / 46 m,9566394
ONE HONOLULU,,,320° / 17.4 kn,13.3 m,-,8 days ago,9588079 / 431472000,7KRR,Japan,335 / 46 m,9588079
ONE HANOI,,,229° / 15.3 kn,13.7 m,-,2 days ago,9588093 / 353592000,3FHS3,Panama,335 / 46 m,9588093
CMA CGM TIGRIS,-,-,,9.7 m,Moored,2 min ago,9705067 / 256062000,9HA3801,Malta,300 / 48 m,9705067
CMA CGM URAL,-,-,305.8° / 17.9 kn,2.2 m,-,48 days ago,9705079 / 256163000,9HA3845,Malta,300 / 49 m,9705079
CMA CGM LITANI,,,166.8° / 17.6 kn,13.1 m,-,39 hours ago,9705055 / 256033000,9HA3793,Malta,299 / 49 m,9705055
NUSANTARA REGAS 1,-,-,,11.0 m,-,14 days ago,7382744 / 525015954,POIN,Indonesia,-,7382744
IBRA LNG,-,-,,11.7 m,Under way,2 min ago,9326689 / 357734000,3EGE9,Panama,286 / 43 m,9326689
SALALAH LNG,,,,9.5 m,-,38 hours ago,9300817 / 371561000,3EDE9,Panama,285 / 43 m,9300817
TOCONAO,,,,10.3 m,-,24 hours ago,9627899 / 636015980,D5DV4,Liberia,300 / 48 m,9627899
TRAIGUEN,,,,9.0 m,Under way,1 min ago,9627904 / 636016125,D5EP4,Liberia,300 / 48 m,9627904
TYNDALL,-,-,,12.4 m,-,8 days ago,9627928 / 636016321,D5FN8,Liberia,300 / 48 m,9627928
TRANCURA,,,,13.3 m,Under way,1 min ago,9627916 / 636016177,D5EV9,Liberia,300 / 48 m,9627916
BW CATCHER,-,-,,-,-,42 hours ago,9777280 / 355631000,3EZP5,Panama,235 / 36 m,9777280
MILAHA QATAR,-,-,,11.8 m,-,37 hours ago,9321732 / 229129000,9HA3092,Malta,283 / 43 m,9321732
NEPTUNE,-,-,,9.3 m,Moored,13 min ago,9385673 / 257356000,LADV7,Norway,283 / 44 m,9385673
CMA CGM AMAZON,,,52.5° / 11.0 kn,11.9 m,-,9 days ago,9706308 / 215499000,9HA5144,Malta,300 / 48 m,9706308
MSC ADONIS,-,-,110.9° / 0.0 kn,10.1 m,Moored,1 min ago,9706310 / 636021251,5LDA3,Liberia,300 / 48 m,9706310
MSC BRITTANY,,,250.7° / 15.8 kn,10.8 m,Under way,1 min ago,9724049 / 255806430,CQEN3,Portugal (Madeira),300 / 48 m,9724049
MAERSK SHIVLING,-,-,89.1° / 0.0 kn,12.6 m,Moored,3 min ago,9728253 / 636017104,D5JH8,Liberia,300 / 48 m,9728253
SAN FERNANDO,-,-,37.7° / 9.0 kn,12.2 m,-,3 days ago,9698642 / 538005734,V7GO3,Marshall Islands,300 / 48 m,9698642
SAN FRANCISCA,-,-,48.8° / 0.1 kn,12.4 m,At anchor,2 min ago,9698654 / 538005735,V7GO6,Marshall Islands,300 / 48 m,9698654
MSC ADELAIDE,,,220° / 20.4 kn,13.6 m,Under way,8 hours ago,9618290 / 352619000,3FIF7,Panama,300 / 48 m,9618290
MSC AGRIGENTO,,,270° / 17.7 kn,12.8 m,Under way,7 hours ago,9618276 / 357096000,3FYR9,Panama,300 / 48 m,9618276
MSC ABIDJAN,,,351.2° / 16.9 kn,11.5 m,Under way,1 hour ago,9618264 / 255806434,CQEN7,Portugal (Madeira),300 / 48 m,9618264
MSC ALGHERO,-,-,,12.0 m,Moored,1 min ago,9618288 / 351819000,3EVX2,Panama,300 / 48 m,9618288
MSC CHANNE,,,19.8° / 14.8 kn,14.1 m,-,18 hours ago,9710438 / 255805864,CQZK,Portugal (Madeira),299 / 48 m,9710438
MSC NAOMI,-,-,228.7° / 7.9 kn,11.8 m,Under way,2 hours ago,9704984 / 255806500,CQEV9,Portugal (Madeira),300 / 48 m,9704984
MSC JULIE,-,-,171.2° / 0.9 kn,14.4 m,Under way,1 min ago,9704996 / 255806498,CQEV7,Portugal (Madeira),300 / 48 m,9704996
MSC LILY,,,255.4° / 19.1 kn,13.8 m,-,5 days ago,9704960 / 255806489,CQEU6,Portugal (Madeira),299 / 48 m,9704960
MSC VITA,,,48.4° / 18.0 kn,13.7 m,-,36 hours ago,9702089 / 255806493,CQEV2,Portugal (Madeira),300 / 48 m,9702089
MSC SARA ELENA,-,-,,13.0 m,-,28 hours ago,9702261 / 255806499,CQEV8,Portugal (Madeira),300 / 48 m,9702261
MSC SOFIA CELESTE,-,-,,10.7 m,Under way,0 min ago,9702091 / 255806495,CQEV4,Portugal (Madeira),300 / 48 m,9702091
MSC BRUNELLA,-,-,,12.6 m,Moored,1 min ago,9702106 / 255806491,CQEU8,Portugal (Madeira),300 / 48 m,9702106
MSC ATHOS,-,-,,12.9 m,At anchor,3 min ago,9618317 / 256871000,9HA4026,Malta,300 / 48 m,9618317
MSC ATHENS,-,-,,13.4 m,Moored,0 min ago,9618305 / 636022873,5LKV5,Liberia,300 / 48 m,9618305
CMA CGM LOIRE,-,-,,8.0 m,Under way,6 hours ago,9674531 / 229947000,9HA3739,Malta,299 / 48 m,9674531
