Vessel Name,Predicted ETA,Distance / Time,Course / Speed,Current draught,Navigation Status,Position received,IMO / MMSI,Callsign,Flag,Length / Beam,IMO

FSRU ALEXANDROUPOLIS,-,-,179° / 0.0 kn,9.5 m,At anchor,15 min ago,9390185 / 241838000,SVDS5,Greece,288 / 45 m,9390185
ATLANTIC STAR,,,208.8° / 14.3 kn,11.2 m,Under way,1 hour ago,9670573 / 215797000,9HA5288,Malta,296 / 38 m,9670573
ATLANTIC SUN,,,,8.7 m,-,23 hours ago,9670614 / 215801000,9HA5292,Malta,295 / 37 m,9670614
ATLANTIC SKY,,,,8.9 m,Under way,1 min ago,9670602 / 215804000,9HA5293,Malta,296 / 37 m,9670602
ATLANTIC SAIL,,,,9.9 m,-,13 hours ago,9670585 / 215809000,9HA5297,Malta,296 / 37 m,9670585
ATLANTIC SEA,,,,8.9 m,-,3 days ago,9670597 / 215800000,9HA5295,Malta,296 / 38 m,9670597
EXQUISITE,-,-,,11.5 m,-,345 days ago,9381134 / 538008036,V7DC7,Marshall Islands,291 / 44 m,9381134
EXEMPLAR,-,-,,2.0 m,Moored,1 hour ago,9444649 / 205553000,ONFZ,Belgium,291 / 44 m,9444649
GRACE ACACIA,,,,11.0 m,-,7 days ago,9315707 / 308136000,C6UU9,Bahamas,288 / 44 m,9315707
EXPRESS,-,-,,8.1 m,Moored,8 hours ago,9361445 / 205526000,ONFL,Belgium,291 / 44 m,9361445
GRACE BARLERIA,-,-,,9.1 m,-,29 days ago,9315719 / 431115000,7JZY,Japan,288 / 44 m,9315719
NOVA ENERGY,-,-,183.8° / 0.0 kn,11.0 m,At anchor,2 min ago,9324277 / 352004474,3E6767,Panama,288 / 44 m,9324277
CLEAN ENERGY,-,-,323.2° / 0.0 kn,9.0 m,At anchor,5 min ago,9323687 / 538002742,V7LG8,Marshall Islands,288 / 44 m,9323687
OB RIVER,-,-,65.2° / 16.3 kn,9.5 m,-,19 days ago,9315692 / 538002846,V7MF2,Marshall Islands,288 / 44 m,9315692
AMUR RIVER,-,-,138.7° / 9.9 kn,9.1 m,Under way,24 min ago,9317999 / 538003001,V7NQ5,Marshall Islands,288 / 44 m,9317999
LENA RIVER,,,233.3° / 11.2 kn,11.5 m,Under way,40 min ago,9629598 / 538005073,V7AU9,Marshall Islands,290 / 44 m,9629598
YENISEI RIVER,-,-,296.7° / 5.7 kn,9.3 m,-,20 hours ago,9629586 / 538005072,V7AU8,Marshall Islands,288 / 44 m,9629586
ARCTIC AURORA,-,-,25.6° / 0.0 kn,11.3 m,At anchor,3 min ago,9645970 / 229767000,9HA3589,Malta,288 / 44 m,9645970
EVER LEADING,-,-,105.7° / 0.0 kn,10.2 m,At anchor,2 min ago,9595462 / 235093619,2FRK8,United Kingdom (UK),335 / 46 m,9595462
EVER LASTING,-,-,314.5° / 15.7 kn,14.1 m,-,3 days ago,9595450 / 235093618,2FRK7,United Kingdom (UK),335 / 46 m,9595450
EVER LIVEN,-,-,151° / 0.0 kn,14.2 m,Moored,29 min ago,9595527 / 416481000,BKIE,Taiwan,335 / 46 m,9595527
EVER LEGEND,-,-,51.8° / 19.5 kn,10.0 m,-,24 hours ago,9604093 / 566949000,9V9724,Singapore,335 / 46 m,9604093
EVER LIBRA,,,279.1° / 19.2 kn,12.4 m,-,12 days ago,9595486 / 416475000,BKIC,Taiwan,335 / 46 m,9595486
EVER LEARNED,,,293° / 12.8 kn,11.3 m,-,4 days ago,9604108 / 235098885,2GNG3,United Kingdom (UK),335 / 46 m,9604108
EVER LIBERAL,-,-,,11.5 m,-,3 days ago,9604160 / 235102678,2HDG2,United Kingdom (UK),335 / 46 m,9604160
EVER LOGIC,,,,11.3 m,-,10 days ago,9604081 / 416482000,BKIF,Taiwan,335 / 46 m,9604081
EVER LENIENT,-,-,,11.8 m,-,3 days ago,9604146 / 235102677,2HDF9,United Kingdom (UK),335 / 46 m,9604146
EVER LEADER,-,-,,13.4 m,-,5 days ago,9595503 / 566794000,9V9289,Singapore,335 / 46 m,9595503
EVER LADEN,,,,14.2 m,-,35 hours ago,9595448 / 373721000,3FXM3,Panama,335 / 46 m,9595448
EVER LOTUS,-,-,,10.4 m,-,2 days ago,9604122 / 352135000,3FWH8,Panama,335 / 46 m,9604122
EVER LAWFUL,,,286.1° / 13.8 kn,13.0 m,-,15 days ago,9595498 / 566732000,9V9288,Singapore,335 / 46 m,9595498
EVER LEGION,,,,14.2 m,-,9 days ago,9604110 / 566970000,9V9725,Singapore,335 / 46 m,9604110
EVER LIVELY,,,,14.1 m,-,9 days ago,9604134 / 563982000,9V9726,Singapore,335 / 46 m,9604134
EVER LAUREL,-,-,,9.5 m,Moored,3 min ago,9595474 / 566673000,9V9287,Singapore,335 / 46 m,9595474
EVER LOYAL,,,,13.5 m,-,5 days ago,9604158 / 416495000,BKIZ,Taiwan,335 / 46 m,9604158
EVER LEGACY,,,,13.8 m,-,24 hours ago,9595515 / 566853000,9V9290,Singapore,335 / 46 m,9595515
