Vessel Name,Predicted ETA,Distance / Time,Course / Speed,Current draught,Navigation Status,Position received,IMO / MMSI,Callsign,Flag,Length / Beam,IMO
LONDON SPIRIT,,,,9.1 m,-,10 days ago,9312303 / 309616000,C6WR4,Bahamas,300 / 50 m,9312303
KOOL GLACIER,-,-,,9.1 m,-,5 days ago,9654696 / 538005373,V7DD9,Marshall Islands,289 / 46 m,9654696
TITANSHIP,-,-,,8.5 m,At anchor,2 min ago,9603362 / 636024626,5LMI5,Liberia,300 / 50 m,9603362
FLYING LOONG,-,-,,17.5 m,-,3 days ago,9603439 / 352004591,3E6874,Panama,300 / 50 m,9603439
DAWN HORIZON,-,-,0.8° / 11.8 kn,8.6 m,-,12 days ago,9638850 / 356142000,3FDW,Panama,300 / 50 m,9638850
CAPE COSMOS,-,-,285.7° / 0.1 kn,8.9 m,At anchor,1 min ago,9603374 / 373657000,3FDX2,Panama,300 / 50 m,9603374
FUJI HORIZON,-,-,349° / 8.0 kn,8.3 m,-,11 days ago,9638874 / 431137000,7KQF,Japan,300 / 50 m,9638874
EMERALD HORIZON,-,-,66.6° / 0.0 kn,8.6 m,At anchor,1 min ago,9638862 / 431941000,7KOZ,Japan,300 / 50 m,9638862
SEASPAN ADONIS,,,90.1° / 16.0 kn,14.0 m,-,3 days ago,9468293 / 477528400,VRTF4,Hong Kong,333 / 46 m,9468293
TORMAN II,-,-,241.8° / 0.0 kn,7.2 m,-,30 days ago,9006681 / 538008702,V7A2394,Marshall Islands,272 / 47 m,9006681
PAN DELIGHT,-,-,318.4° / 12.7 kn,18.0 m,-,39 hours ago,9748708 / 440725000,D7KQ,Korea,300 / 50 m,9748708
KARMOL LNGT EUROPE,-,-,193.8° / 0.5 kn,10.6 m,-,4 days ago,9020766 / 636020066,D5XM9,Liberia,272 / 47 m,9020766
ADAM LNG,,,293.4° / 14.5 kn,9.2 m,-,5 days ago,9501186 / 538005753,V7GR3,Marshall Islands,289 / 46 m,9501186
CHINA STEEL HARMONY,-,-,358.9° / 10.3 kn,9.4 m,-,11 days ago,9832987 / 416043000,BHBV,Taiwan,300 / 50 m,9832987
CHINA STEEL LIBERTY,-,-,105.1° / 0.0 kn,18.6 m,Moored,13 min ago,9832975 / 416030000,BHAZ,Taiwan,300 / 50 m,9832975
C.S. BRILLIANCE,-,-,314.6° / 0.0 kn,9.3 m,At anchor,1 min ago,9849239 / 371162000,3EJS4,Panama,300 / 50 m,9849239
CHINA STEEL PRESTIGE,-,-,185.3° / 12.3 kn,10.7 m,-,23 hours ago,9849241 / 357496000,3FYU6,Panama,300 / 50 m,9849241
BW PAVILION LEEARA,-,-,132.9° / 15.7 kn,9.2 m,-,11 days ago,9640645 / 565515000,9V2726,Singapore,289 / 46 m,9640645
BW PAVILION VANDA,-,-,220.2° / 0.7 kn,8.9 m,-,5 days ago,9640437 / 565513000,9V2725,Singapore,289 / 46 m,9640437
CLEAN HORIZON,-,-,317.8° / 17.9 kn,9.4 m,-,4 days ago,9655444 / 256083000,9HA3808,Malta,289 / 46 m,9655444
CLEAN OCEAN,-,-,142.3° / 16.7 kn,11.4 m,-,6 days ago,9637492 / 538005350,V7CY7,Marshall Islands,289 / 46 m,9637492
TIAN FA HAI,,,311.8° / 14.0 kn,11.2 m,-,2 days ago,9516521 / 371112000,3FSY4,Panama,300 / 50 m,9516521
JIN DA HAI,-,-,,8.7 m,-,46 days ago,9516533 / 354908000,H9KU,Panama,300 / 50 m,9516533
ZHONG XING HAI,-,-,,8.7 m,At anchor,2 min ago,9516507 / 370138000,3FXV2,Panama,300 / 50 m,9516507
YUAN WANG HAI,,,,11.1 m,Under way,2 hours ago,9516519 / 353801000,3FTK4,Panama,300 / 50 m,9516519
KOOL KELVIN,-,-,,9.1 m,Under way,41 min ago,9654701 / 538005374,V7DE2,Marshall Islands,289 / 46 m,9654701
MARAN GAS ALEXANDRIA,-,-,,9.2 m,Under way,3 hours ago,9650054 / 241353000,SVCC2,Greece,289 / 45 m,9650054
MARAN GAS APOLLONIA,,,,8.0 m,Under way,1 min ago,9633422 / 241275000,SVBV2,Greece,289 / 45 m,9633422
MARAN GAS POSIDONIA,-,-,,9.3 m,-,16 days ago,9633434 / 241290000,SVBW5,Greece,289 / 45 m,9633434
MARAN GAS SPARTA,-,-,,9.2 m,-,2 days ago,9650042 / 241289000,SVBW4,Greece,289 / 45 m,9650042
ONE ALTAIR,,,,10.6 m,-,21 hours ago,9468308 / 431710000,7KHW,Japan,333 / 46 m,9468308
ONE ARCADIA,-,-,343.6° / 0.0 kn,11.3 m,At anchor,2 min ago,9468310 / 319211600,ZGOK7,Cayman Islands,332 / 46 m,9468310
SERI BEGAWAN,-,-,,10.7 m,-,11 days ago,9331646 / 533016000,9MFJ6,Malaysia,289 / 46 m,9331646
SERI BAKTI,-,-,,9.6 m,Under way,1 hour ago,9331634 / 533380000,9MGZ6,Malaysia,289 / 46 m,9331634
LNGT AMERICA,-,-,,9.0 m,-,9 days ago,9045132 / 636023904,5LPZ6,Liberia,272 / 47 m,9045132
NORTHWEST SNIPE,-,-,,8.8 m,-,360 days ago,8608884 / 503000051,VNVS,Australia,272 / 48 m,8608884
LNGT ANTARCTICA,-,-,,-,-,15 days ago,8608872 / 636023902,5LPZ4,Liberia,272 / 48 m,8608872
LNGT TURKIYE,-,-,,9.0 m,-,195 days ago,8913150 / 636023903,5LPZ5,Liberia,272 / 48 m,8913150
BERGE LYNGOR,,,,18.1 m,-,5 days ago,9448011 / 232057692,MRCY9,United Kingdom (UK),300 / 50 m,9448011
SERI BIJAKSANA,,,,11.2 m,-,8 days ago,9331658 / 533051000,9MHQ7,Malaysia,289 / 46 m,9331658
ATLAS VENTURE,,,,9.8 m,Under way,1 min ago,9281918 / 538010482,V7A6102,Marshall Islands,300 / 50 m,9281918
XIN RUI OCEAN,,,280° / 11.8 kn,10.1 m,-,31 hours ago,9374026 / 372276000,3EHX3,Panama,300 / 50 m,9374026
SAMC TRANSPORTER,-,-,,11.5 m,At anchor,4 hours ago,9355159 / 353073000,3EDP5,Panama,300 / 50 m,9355159
CAPE ACACIA,-,-,,11.7 m,-,5 days ago,9281906 / 601919900,ZR5354,South Africa,300 / 50 m,9281906
CAPE ALLIANCE,-,-,,11.4 m,-,4 days ago,9374038 / 372526000,3EJI2,Panama,300 / 50 m,9374038
WINNING ANGEL,-,-,,14.0 m,-,9 days ago,9406506 / 563174400,9V8522,Singapore,300 / 50 m,9406506
XIN YUE,,,,11.8 m,-,43 hours ago,9439046 / 636093218,5LMT4,Liberia,300 / 50 m,9439046
SEACON AFRICA,,,183.1° / 12.2 kn,18.0 m,-,37 hours ago,9355147 / 355765000,3EFH,Panama,299 / 50 m,9355147
CAPE MERLIN,-,-,,9.2 m,At anchor,1 min ago,9346380 / 635961345,D5KH4,Kerguelen Islands,300 / 50 m,9346380
SUNNY MAMOU,-,-,74.5° / 11.2 kn,18.5 m,-,2 days ago,9346342 / 352003141,3E6023,Panama,300 / 50 m,9346342
CHINAFRIE PROSPERITY,-,-,,6.9 m,-,51 days ago,9406491 / 563247800,9V7170,Singapore,300 / 50 m,9406491
BERGE ODEL,-,-,215° / 0.0 kn,12.5 m,-,2 days ago,9406544 / 232046705,MNIR8,United Kingdom (UK),300 / 50 m,9406544
NETADOLA,-,-,,12.0 m,At anchor,7 min ago,9406453 / 538009881,V7A5287,Marshall Islands,300 / 50 m,9406453
XIN HAI,,,,10.6 m,-,2 days ago,9406477 / 636021720,5LFJ5,Liberia,300 / 50 m,9406477
XIN HANG,,,,18.5 m,-,14 days ago,9406532 / 636021958,5LGN2,Liberia,300 / 50 m,9406532
CAPE KENSINGTON,-,-,,17.9 m,-,12 days ago,9327815 / 538010395,V7A5987,Marshall Islands,299 / 50 m,9327815
SONANGOL SAMBIZANGA,,,,9.3 m,-,4 days ago,9475600 / 311027900,C6YM6,Bahamas,291 / 43 m,9475600
SONANGOL BENGUELA,,,,9.5 m,Under way,0 min ago,9482304 / 311038100,C6YM7,Bahamas,291 / 44 m,9482304
SONANGOL ETOSHA,-,-,136.2° / 9.4 kn,9.7 m,-,13 days ago,9482299 / 311027800,C6YM5,Bahamas,291 / 42 m,9482299
SEAPEAK MAGELLAN,-,-,244.3° / 0.0 kn,9.5 m,At anchor,2 hours ago,9342487 / 220636000,OWDW2,Denmark,286 / 43 m,9342487
URANUS 2,,,,18.4 m,-,13 days ago,9304930 / 352004955,3E7173,Panama,300 / 50 m,9304930
CHINA PROSPERITY,-,-,334° / 13.4 kn,11.9 m,-,20 days ago,9592434 / 477340500,VRJW6,Hong Kong,300 / 50 m,9592434
CHINA TRIUMPH,-,-,,10.3 m,At anchor,4 hours ago,9592422 / 477091400,VRJO2,Hong Kong,300 / 50 m,9592422
XH SANMEN BAY,,,,18.3 m,-,47 hours ago,9304942 / 352001065,3E2104,Panama,300 / 50 m,9304942
SEAPEAK ARWA,-,-,,10.0 m,Under way,4 min ago,9339260 / 538003267,V7PQ5,Marshall Islands,285 / 43 m,9339260
WOODSIDE DONALDSON,,,,10.4 m,-,5 days ago,9369899 / 564629000,9V8262,Singapore,286 / 44 m,9369899
SEAPEAK MERIDIAN,-,-,,11.9 m,-,7 days ago,9369904 / 219061000,OWHC2,Denmark,286 / 43 m,9369904
SEAPEAK MARIB,-,-,,12.0 m,-,4 days ago,9336749 / 538001576,V7CY2,Marshall Islands,285 / 43 m,9336749
SEAPEAK METHANE,,,,9.6 m,-,14 hours ago,9336737 / 311000135,C6AS3,Bahamas,286 / 44 m,9336737
MARAN GAS EFESSOS,-,-,,9.2 m,Moored,32 min ago,9627497 / 241291000,SVBW6,Greece,294 / 44 m,9627497
WOODSIDE GOODE,-,-,,11.1 m,-,2 days ago,9633161 / 241276000,SVBU9,Greece,294 / 44 m,9633161
MARAN GAS DELPHI,-,-,47.4° / 16.6 kn,11.2 m,-,6 days ago,9633173 / 241287000,SVBW3,Greece,294 / 44 m,9633173
WOODSIDE ROGERS,-,-,,9.7 m,Under way,1 min ago,9627485 / 241254000,SVBS6,Greece,294 / 44 m,9627485
CORCOVADO LNG,-,-,,11.4 m,-,7 days ago,9636711 / 229471000,9HA3358,Malta,294 / 44 m,9636711
KITA LNG,-,-,,11.0 m,-,37 hours ago,9636723 / 229581000,9HA3422,Malta,294 / 44 m,9636723
MARAN GAS LINDOS,-,-,,11.1 m,Under way,10 hours ago,9627502 / 241351000,SVCB7,Greece,294 / 44 m,9627502
MARAN GAS TROY,-,-,,11.2 m,Under way,0 min ago,9658240 / 241352000,SVCB8,Greece,294 / 44 m,9658240
MARAN GAS MYSTRAS,-,-,,4.5 m,Under way,8 hours ago,9658238 / 241350000,SVCB6,Greece,294 / 44 m,9658238
PALU LNG,-,-,,11.1 m,-,6 days ago,9636735 / 229582000,9HA3423,Malta,294 / 44 m,9636735
YARI LNG,-,-,,9.3 m,-,4 days ago,9636747 / 229583000,9HA3424,Malta,294 / 44 m,9636747
CARNIVAL SUNSHINE,-,-,,8.6 m,Under way,1 min ago,9070058 / 308017000,C6FN4,Bahamas,270 / 44 m,9070058
PIA,-,-,186.2° / 0.1 kn,7.4 m,-,33 days ago,9075333 / 620999782,D6A3781,Comoros,274 / 48 m,9075333
HYUNDAI UTOPIA,-,-,168° / 17.1 kn,11.0 m,-,12 days ago,9018555 / 441223000,DSPI4,Korea,274 / 47 m,9018555
SOVEREIGN,-,-,314.7° / 9.6 kn,8.0 m,-,248 days ago,9038816 / 341707001,V4CL6,St Kitts & Nevis,274 / 47 m,9038816
BW BATANGAS,-,-,135° / 0.0 kn,11.2 m,-,55 days ago,9368302 / 352002544,HOA2938,Panama,294 / 42 m,9368302
BW BRUSSELS,,,,9.5 m,Under way,0 min ago,9368314 / 563089400,9V6429,Singapore,295 / 44 m,9368314
MSC AVNI,,,,11.0 m,-,4 days ago,9756729 / 636018068,D5OA3,Liberia,314 / 48 m,9756729
MSC GAYANE,,,,14.4 m,-,41 hours ago,9770763 / 636018276,D5OZ5,Liberia,314 / 48 m,9770763
CMA CGM CONGO,-,-,,11.9 m,-,18 hours ago,9679892 / 249125000,9HA6119,Malta,300 / 48 m,9679892
CMA CGM MISSOURI,-,-,,7.7 m,At anchor,12 min ago,9679919 / 249112000,9HA6114,Malta,299 / 48 m,9679919
CMA CGM MISSISSIPPI,,,,10.1 m,-,8 days ago,9679907 / 249123000,9HA6118,Malta,300 / 48 m,9679907
GODDESS OF THE NIGHT,-,-,268° / 0.1 kn,8.3 m,Moored,9 min ago,9239795 / 310834000,ZCHE3,Bermuda,272 / 44 m,9239795
EXPLORER,-,-,,10.0 m,Moored,6 hours ago,9361079 / 205506000,ONFE,Belgium,291 / 44 m,9361079
ARMADALNGMEDITERRANA,-,-,,10.4 m,Moored,1 min ago,8125868 / 249320000,9HA4196,Malta,283 / 45 m,8125868
COSTA FORTUNA,-,-,,8.3 m,Under way,0 min ago,9239783 / 247094800,IBNY,Italy,272 / 35 m,9239783
AMADI,-,-,,9.5 m,-,5 days ago,9682552 / 508111182,V8V3147,Brunei,288 / 44 m,9682552
AMANI,-,-,,11.5 m,-,15 days ago,9661869 / 508111181,V8V3146,Brunei,288 / 44 m,9661869
ENERGOS CELSIUS,-,-,,9.8 m,-,18 hours ago,9626027 / 538004984,V7AF5,Marshall Islands,281 / 44 m,9626027
KOOL HUSKY,-,-,,9.1 m,-,4 days ago,9626039 / 538004983,V7AF4,Marshall Islands,281 / 44 m,9626039
MSC CARLOTTA,,,67.6° / 16.6 kn,12.1 m,-,5 days ago,9756731 / 636018106,D5OE8,Liberia,314 / 48 m,9756731
RNT TEST,-,-,,-,-,33 days ago,8110203 / 283412345,V7AI3,Unknown,283 / 45 m,8110203
WILPRIDE,,,,10.3 m,Under way,0 min ago,9627966 / 256278000,9HA5780,Malta,290 / 44 m,9627966
WILFORCE,,,,9.4 m,-,2 days ago,9627954 / 256276000,9HA5779,Malta,290 / 44 m,9627954
CARNIVAL SUNRISE,,,,8.5 m,Under way,0 min ago,9138850 / 308045000,C6FN5,Bahamas,272 / 44 m,9138850
CARNIVAL RADIANCE,-,-,,8.4 m,Under way,57 min ago,9172648 / 355263000,3FFL8,Panama,272 / 44 m,9172648
SUNNY ROUTE,-,-,,8.6 m,-,36 days ago,9296420 / 636020906,5LBH5,Liberia,300 / 50 m,9296420
WINNING OCEAN,,,,10.7 m,Under way,1 min ago,9271602 / 636017719,D5MK5,Liberia,300 / 50 m,9271602
KOOL ICE,-,-,,11.6 m,Under way,4 hours ago,9637325 / 538004976,V7AE5,Marshall Islands,281 / 44 m,9637325
KOOL BLIZZARD,-,-,,7.5 m,-,45 hours ago,9635315 / 538004981,V7AF2,Marshall Islands,281 / 44 m,9635315
BERGE DINARA,,,80° / 6.4 kn,18.1 m,-,5 days ago,9273985 / 636020155,D5XX9,Liberia,300 / 50 m,9273985
SUNNY KANKAN,-,-,,10.1 m,-,25 days ago,9287273 / 636023196,5LMN2,Liberia,300 / 50 m,9287273
SUNNY LABE,,,150.7° / 10.2 kn,18.3 m,-,6 days ago,9271597 / 352002765,3E5061,Panama,300 / 50 m,9271597
KOOL CRYSTAL,-,-,110.7° / 16.6 kn,11.4 m,Under way,8 hours ago,9624926 / 538004985,V7AF6,Marshall Islands,281 / 44 m,9624926
HOEGH GANDRIA,-,-,151° / 0.0 kn,8.9 m,At anchor,6 hours ago,9624914 / 563216800,9V9227,Singapore,281 / 44 m,9624914
WINNING UNIVERSE,-,-,48° / 0.3 kn,9.5 m,At anchor,9 hours ago,9346172 / 566609000,9VBT9,Singapore,300 / 50 m,9346172
COOL RIDER,-,-,200.1° / 0.0 kn,9.0 m,Moored,1 min ago,9333591 / 256056000,9HA5676,Malta,288 / 44 m,9333591
KMARIN DIAMOND,,,,8.4 m,-,5 days ago,9333620 / 636023284,5LMY3,Liberia,288 / 44 m,9333620
COOL ROVER,-,-,,9.5 m,At anchor,3 min ago,9333618 / 256195000,9HA5734,Malta,288 / 44 m,9333618
COOL RANGER,-,-,,9.8 m,Under way,5 hours ago,9333606 / 256492000,9HA5862,Malta,289 / 44 m,9333606
UBUNTU COMMUNITY,,,,18.4 m,-,45 hours ago,9956991 / 241837000,SVDS4,Greece,299 / 47 m,9956991
UBUNTU HARMONY,,,,18.4 m,Under way,0 min ago,9936666 / 563172900,9V7997,Singapore,299 / 47 m,9936666
UBUNTU EMPATHY,-,-,,18.4 m,Constrained,8 hours ago,9957000 / 232046381,MNGC4,United Kingdom (UK),299 / 47 m,9957000
UBUNTU UNITY,,,,18.3 m,-,10 days ago,9956989 / 241834000,SVDR9,Greece,299 / 47 m,9956989
CASTORONE,-,-,,10.6 m,Moored,1 min ago,9444194 / 311010800,C6XI7,Bahamas,325 / 38 m,9444194
TANGGUH SAGO,,,349.2° / 16.2 kn,9.7 m,-,9 days ago,9361990 / 308741000,C6XC3,Bahamas,288 / 44 m,9361990
TANGGUH HIRI,,,,9.8 m,Under way,5 hours ago,9333632 / 309787000,C6XC2,Bahamas,288 / 44 m,9333632
OCEAN PROMETHEUS,-,-,,9.1 m,-,8 days ago,9336957 / 636013318,A8MC4,Liberia,300 / 50 m,9336957
CAPTAIN LEONIDAS,,,,9.1 m,-,4 days ago,9271561 / 356611000,H8HK,Panama,300 / 50 m,9271561
WINNING YOUTH,-,-,,18.2 m,-,9 days ago,9278636 / 563122200,9V6993,Singapore,300 / 50 m,9278636
SAMC LIBERO,,,,18.3 m,-,2 days ago,9312250 / 352001496,3E2512,Panama,300 / 50 m,9312250
QI MING STAR,-,-,,10.5 m,-,5 days ago,9331531 / 636020234,D5YG6,Liberia,300 / 50 m,9331531
STAR UNITED,-,-,,18.0 m,-,9 days ago,9337121 / 311001088,C6FE9,Bahamas,300 / 50 m,9337121
CAPE KORI,-,-,,7.2 m,At anchor,7 hours ago,9271559 / 636019646,D5VL8,Liberia,300 / 50 m,9271559
DEMETER VENTURE,,,,18.5 m,-,8 days ago,9314674 / 636019653,D5VM7,Liberia,300 / 50 m,9314674
BERGE BIMBERI,-,-,,11.0 m,-,7 days ago,9331414 / 636020251,D5YI7,Liberia,299 / 50 m,9331414
ASIA ENDEAVOUR,-,-,,9.0 m,-,14 hours ago,9610779 / 311000185,C6AX6,Bahamas,285 / 44 m,9610779
ASIA EXCELLENCE,-,-,,-,-,1 min ago,9610767 / 311000184,C6AX5,Bahamas,285 / 44 m,9610767
ASIA ENERGY,-,-,,9.6 m,-,2 days ago,9606950 / 311000183,C6AX4,Bahamas,285 / 44 m,9606950
ASIA INTEGRITY,-,-,,10.4 m,-,7 days ago,9680188 / 311000227,C6BC8,Bahamas,285 / 44 m,9680188
ASIA VENTURE,-,-,,12.0 m,-,9 days ago,9680190 / 311000228,C6BC9,Bahamas,285 / 44 m,9680190
ASIA VISION,,,,11.5 m,-,4 days ago,9606948 / 311000182,C6AX3,Bahamas,286 / 44 m,9606948
POINT FORTIN,-,-,,9.2 m,At anchor,2 min ago,9375721 / 370833000,3EZM3,Panama,289 / 45 m,9375721
