Vessel Name,Predicted ETA,Distance / Time,Course / Speed,Current draught,Navigation Status,Position received,IMO / MMSI,Callsign,Flag,Length / Beam,IMO

PHILADELPHIA,,,346.2° / 11.0 kn,17.7 m,-,9 days ago,9588495 / 538004559,V7XS4,Marshall Islands,300 / 50 m,9588495
LOS ANGELES,-,-,,8.4 m,At anchor,3 min ago,9588483 / 538004492,V7XJ2,Marshall Islands,299 / 50 m,9588483
MARAN NOBILITY,-,-,,18.4 m,-,10 days ago,9593220 / 241256000,SVBS8,Greece,300 / 50 m,9593220
MARAN COURAGE,-,-,,17.8 m,-,6 days ago,9593218 / 241237000,SVBR6,Greece,300 / 50 m,9593218
PIGI,-,-,,9.7 m,-,10 days ago,9447196 / 210730000,5BYA3,Cyprus,300 / 49 m,9447196
COALMAX,-,-,,18.2 m,-,15 days ago,9447184 / 210616000,5BVR3,Cyprus,300 / 49 m,9447184
SPRINGBANK,-,-,,9.5 m,At anchor,18 min ago,9447160 / 636023967,5LQH8,Liberia,300 / 49 m,9447160
ROSEBANK,-,-,,9.8 m,-,10 days ago,9447172 / 636023966,5LQH7,Liberia,300 / 49 m,9447172
RTM DAMPIER,,,,18.5 m,-,15 days ago,9591325 / 564813000,9V2775,Singapore,300 / 50 m,9591325
RTM TASMAN,-,-,,9.3 m,-,8 days ago,9591375 / 564849000,9V2782,Singapore,300 / 50 m,9591375
RTM DRAKE,-,-,38.7° / 0.0 kn,11.2 m,Moored,1 min ago,9591351 / 564830000,9V2779,Singapore,300 / 50 m,9591351
BW SINGAPORE,-,-,,9.6 m,Moored,2 min ago,9684495 / 235113083,2IVG6,United Kingdom (UK),292 / 44 m,9684495
ENERGOS IGLOO,-,-,,9.0 m,Moored,2 min ago,9633991 / 538004977,V7AE6,Marshall Islands,293 / 44 m,9633991
ENERGY ATLANTIC,-,-,,9.5 m,-,18 days ago,9649328 / 256647000,9HA3976,Malta,290 / 46 m,9649328
LNG MALEO,,,,9.3 m,-,6 days ago,8701791 / 431015000,JFYD,Japan,272 / 47 m,8701791
HENG YUAN,,,,18.3 m,-,8 days ago,9325300 / 370802702,3FYB,Panama,299 / 50 m,9325300
HENG MAO,,,,9.2 m,Under way,0 min ago,9516492 / 477351200,VRIC9,Hong Kong,300 / 50 m,9516492
CAPE SASANQUA,,,,11.0 m,Under way,20 min ago,9603350 / 431356000,7JXN,Japan,300 / 50 m,9603350
YASA DREAM,-,-,217° / 0.2 kn,8.1 m,At anchor,1 min ago,9324461 / 538003320,V7QA2,Marshall Islands,299 / 50 m,9324461
EASTAR FAITH,,,14.9° / 10.9 kn,18.2 m,-,7 days ago,9398137 / 563231200,9V9938,Singapore,300 / 50 m,9398137
FPMC B LUCK,-,-,,9.0 m,-,11 days ago,9445227 / 636015476,D5AZ5,Liberia,299 / 50 m,9445227
FPMC B JUSTICE,-,-,347.7° / 10.7 kn,7.4 m,-,33 days ago,9423346 / 636015474,D5AZ3,Liberia,299 / 50 m,9423346
FPMC B IMAGE,,,,18.3 m,-,5 days ago,9423334 / 636015473,D5AZ2,Liberia,299 / 50 m,9423334
CAPE RAINBOW,-,-,,17.8 m,-,5 days ago,9603398 / 373033000,3EVI3,Panama,300 / 50 m,9603398
SHAGANG HAILI,-,-,,9.2 m,-,10 days ago,9595424 / 636015314,A8ZX5,Liberia,300 / 50 m,9595424
AZUL HORIZONTE,-,-,,16.0 m,-,4 days ago,9595412 / 636015632,D5BY6,Liberia,300 / 50 m,9595412
CS SUSTAINABILITY,-,-,,14.8 m,-,7 days ago,9673848 / 416028000,BHAH,Taiwan,300 / 50 m,9673848
C.S CHALLENGE,-,-,,14.8 m,-,13 hours ago,9673812 / 416026000,BHAE,Taiwan,300 / 50 m,9673812
PROSPER SUNWAITO,-,-,,18.4 m,-,41 days ago,9608441 / 538004987,V7AG2,Marshall Islands,300 / 50 m,9608441
HYUNDAI ATLANTIC,-,-,,9.3 m,-,21 hours ago,9479242 / 477413800,VRKI3,Hong Kong,299 / 50 m,9479242
SPRING NEXUS,-,-,,7.8 m,-,2 days ago,9595400 / 355354000,3FHP6,Panama,300 / 50 m,9595400
C.S. INNOVATOR,-,-,,18.5 m,Under way,0 min ago,9479230 / 416463000,BDFI,Taiwan,299 / 50 m,9479230
DOUBLE STAR,-,-,,8.9 m,At anchor,0 min ago,9479228 / 352004601,3E6884,Panama,299 / 50 m,9479228
SUNNY DABOLA,,,,18.3 m,-,23 days ago,9398149 / 356849000,3FSQ3,Panama,300 / 50 m,9398149
BAO GUO,-,-,,9.1 m,-,41 hours ago,9336969 / 370293000,3ESG5,Panama,300 / 50 m,9336969
GLOBAL COMMANDER,-,-,,8.4 m,-,9 days ago,9531844 / 311039100,C6YN4,Bahamas,299 / 50 m,9531844
CAPE ODYSSEY,-,-,,17.8 m,-,3 days ago,9398163 / 372514000,HPUM,Panama,299 / 50 m,9398163
SG CAPITAL,-,-,,9.0 m,-,13 days ago,9336995 / 352003338,3E7495,Panama,299 / 50 m,9336995
WEN CHANG STAR,,,,18.3 m,-,2 days ago,9337145 / 370844000,H9DV,Panama,300 / 50 m,9337145
HYUNDAI PIONEER,-,-,,18.7 m,-,9 days ago,9398101 / 311019600,C6XQ9,Bahamas,300 / 50 m,9398101
OTOTACHIBANA,,,,17.0 m,-,12 days ago,9603403 / 431823000,7KMJ,Japan,300 / 50 m,9603403
GOLDEN HORIZON,-,-,,8.6 m,At anchor,2 min ago,9514509 / 432910000,7JOF,Japan,300 / 50 m,9514509
OCEAN CREATION,,,,9.1 m,-,3 days ago,9398125 / 431461000,7JYY,Japan,300 / 50 m,9398125
