Vessel Name,Predicted ETA,Distance / Time,Course / Speed,Current draught,Navigation Status,Position received,IMO / MMSI,Callsign,Flag,Length / Beam,IMO

RDO ACE,-,-,339.4° / 6.8 kn,12.2 m,Under way,7 hours ago,9779771 / 636093158,5LKJ9,Liberia,336 / 48 m,9779771
SEASPAN GANGES,,,146° / 19.9 kn,10.0 m,-,3 days ago,9630365 / 477776100,VRMV8,Hong Kong,336 / 48 m,9630365
SEASPAN THAMES,,,,10.8 m,Under way,0 min ago,9630377 / 477407900,VRNA9,Hong Kong,336 / 48 m,9630377
SEASPAN ZAMBEZI,,,,10.0 m,Under way,8 hours ago,9630406 / 477390300,VRNF7,Hong Kong,336 / 48 m,9630406
SEASPAN YANGTZE,-,-,,10.4 m,-,9 days ago,9630389 / 477441400,VRNA8,Hong Kong,337 / 48 m,9630389
SEASPAN AMAZON,-,-,,13.3 m,Moored,3 min ago,9630391 / 477390400,VRNF8,Hong Kong,337 / 48 m,9630391
CARIBBEAN PRINCESS,-,-,,8.7 m,Under way,1 min ago,9215490 / 310423000,ZCDG8,Bermuda,290 / 36 m,9215490
TESSALA,-,-,,11.8 m,Moored,2 min ago,9761243 / 605076060,7TGI,Algeria,291 / 46 m,9761243
OUGARTA,-,-,,9.5 m,Under way,2 min ago,9761267 / 605076070,7TGD,Algeria,291 / 46 m,9761267
CAPE KORTIA,,,52.2° / 19.1 kn,14.2 m,-,6 days ago,9727613 / 249783000,9HA4377,Malta,330 / 48 m,9727613
CAPE SOUNIO,-,-,24.6° / 21.7 kn,11.8 m,-,8 days ago,9727625 / 248089000,9HA4509,Malta,330 / 48 m,9727625
CAPE TAINARO,,,58° / 19.1 kn,13.1 m,-,4 days ago,9706205 / 249982000,9HA4463,Malta,330 / 48 m,9706205
CAPE AKRITAS,-,-,312.5° / 0.0 kn,10.7 m,Moored,2 min ago,9706190 / 249202000,9HA4147,Malta,330 / 48 m,9706190
CAPE ARTEMISIO,,,239.2° / 17.7 kn,13.6 m,-,2 days ago,9777175 / 248140000,9HA4529,Malta,330 / 48 m,9777175
BW TATIANA,-,-,221.3° / 0.0 kn,10.0 m,-,21 days ago,9236626 / 351133000,3ECT7,Panama,291 / 46 m,9236626
PRACHI,,,18° / 20.4 kn,11.9 m,-,4 days ago,9723801 / 563178000,9V5076,Singapore,295 / 46 m,9723801
GASLOG GIBRALTAR,,,63° / 13.5 kn,11.3 m,-,33 hours ago,9707510 / 310757000,ZCEU3,Bermuda,290 / 46 m,9707510
GASLOG GREECE,,,182° / 15.3 kn,9.3 m,-,5 days ago,9687019 / 310732000,ZCER6,Bermuda,290 / 45 m,9687019
GASLOG GLASGOW,-,-,219° / 15.7 kn,9.6 m,-,3 days ago,9687021 / 310744000,ZCES6,Bermuda,290 / 46 m,9687021
GASLOG GENEVA,-,-,,11.5 m,-,2 days ago,9707508 / 310755000,ZCEU2,Bermuda,290 / 46 m,9707508
MSC AINO,,,,10.1 m,-,32 hours ago,9770751 / 636019348,D5UC2,Liberia,328 / 48 m,9770751
MSC BIANCA,,,,14.7 m,-,6 days ago,9770749 / 636019021,D5SO7,Liberia,328 / 48 m,9770749
MOUNT ARARAT,,,,9.8 m,-,6 days ago,9938547 / 636021485,5LED7,Liberia,300 / 50 m,9938547
