Vessel Name,Predicted ETA,Distance / Time,Course / Speed,Current draught,Navigation Status,Position received,IMO / MMSI,Callsign,Flag,Length / Beam,IMO
FSO NABARIMA,-,-,,14.5 m,-,122 days ago,9316567 / 775072000,YYJS,Venezuela,258 / 52 m,9316567
MOUNT TOURMALINE,,,175.9° / 12.1 kn,9.6 m,-,32 hours ago,9900772 / 636021130,5LCL4,Liberia,299 / 50 m,9900772
LNG JAMAL,-,-,,9.2 m,-,9 days ago,9200316 / 432278000,JPHB,Japan,290 / 46 m,9200316
AL KHEESAH,-,-,,10.7 m,-,3 days ago,9982677 / 636024758,5LUD3,Liberia,290 / 46 m,9982677
HOEGH GALLEON,-,-,,11.3 m,-,26 hours ago,9820013 / 563173800,9V8450,Singapore,298 / 43 m,9820013
LADY EVA,,,,9.2 m,Under way,25 min ago,9165011 / 525701066,YDIF3,Indonesia,290 / 46 m,9165011
CASTILLO SANTISTEBAN,,,66.2° / 17.1 kn,11.1 m,-,4 days ago,9433717 / 215739000,9HA2217,Malta,299 / 46 m,9433717
MEIN SCHIFF 2,,,256.2° / 13.5 kn,8.2 m,Under way,8 hours ago,9783576 / 248956000,9HA4883,Malta,316 / 40 m,9783576
MEIN SCHIFF 1,,,,8.2 m,Under way,10 hours ago,9783564 / 248513000,9HA4683,Malta,316 / 40 m,9783564
PACIFIC NOTUS,,,,11.1 m,-,13 hours ago,9247962 / 311573000,C6TC2,Bahamas,293 / 46 m,9247962
LNG PRIMA CARRIER,-,-,,9.3 m,-,13 days ago,9264910 / 525301553,YDOJ2,Indonesia,293 / 46 m,9264910
XINHANG ENERGY,-,-,,8.7 m,-,38 hours ago,9210828 / 636022142,5LHJ3,Liberia,289 / 46 m,9210828
SHANDONG JUNIPER,-,-,,9.8 m,At anchor,2 min ago,9253222 / 563574000,S6AE7,Singapore,290 / 46 m,9253222
CMA CGM ORFEO,,,,11.1 m,-,2 days ago,9364992 / 218845000,DFPG2,Germany,350 / 42 m,9364992
CMA CGM BUTTERFLY,-,-,,14.1 m,-,2 days ago,9365790 / 311001416,C6HB6,Bahamas,350 / 43 m,9365790
CMA CGM IVANHOE,,,,11.3 m,Under way,1 min ago,9365805 / 256730000,9HA5951,Malta,350 / 42 m,9365805
CMA CGM PELLEAS,,,,13.9 m,-,32 hours ago,9365788 / 256548000,9HA3489,Malta,350 / 42 m,9365788
SOHAR LNG,-,-,,9.8 m,Under way,5 hours ago,9210816 / 357186000,H9ZZ,Panama,298 / 46 m,9210816
DOHA,-,-,,9.2 m,-,12 days ago,9085637 / 538009745,V7A5110,Marshall Islands,297 / 46 m,9085637
AL JASRA,,,,11.1 m,-,3 days ago,9132791 / 538009753,V7A5123,Marshall Islands,298 / 46 m,9132791
DUKHAN,-,-,111.7° / 0.2 kn,9.4 m,-,191 days ago,9265500 / 636012400,A8FG3,Liberia,297 / 46 m,9265500
AL WAJBAH,,,119.7° / 15.0 kn,10.8 m,Under way,27 min ago,9085625 / 538009769,V7A5141,Marshall Islands,298 / 46 m,9085625
AL RAYYAN,,,67.6° / 14.6 kn,10.9 m,-,3 days ago,9086734 / 538009768,V7A5140,Marshall Islands,298 / 46 m,9086734
AL WAKRAH,,,,9.4 m,-,7 days ago,9086746 / 538009770,V7A5142,Marshall Islands,298 / 46 m,9086746
AL BIDDA,-,-,,9.3 m,-,12 hours ago,9132741 / 538009772,V7A5144,Marshall Islands,297 / 46 m,9132741
ZEKREET,,,,9.5 m,-,35 hours ago,9132818 / 538009771,V7A5143,Marshall Islands,298 / 46 m,9132818
BROOG,-,-,0° / 0.0 kn,9.4 m,-,5 days ago,9085651 / 538009755,V7A5125,Marshall Islands,297 / 46 m,9085651
RIBERA DUERO KNUTSEN,-,-,,9.5 m,-,47 hours ago,9477593 / 259082000,LAHM7,Norway,290 / 46 m,9477593
MARVEL DOVE,-,-,,11.4 m,-,20 hours ago,9964182 / 636023837,5LPR2,Liberia,289 / 46 m,9964182
ENERGY FIDELITY,-,-,,9.0 m,-,2 days ago,9540089 / 538010445,V7A6050,Marshall Islands,289 / 46 m,9540089
ENERGY ENDURANCE,-,-,,11.0 m,Moored,3 min ago,9948695 / 538010699,V7A7282,Marshall Islands,290 / 46 m,9948695
AL KHOR,,,,9.4 m,-,24 hours ago,9085613 / 538009754,V7A5124,Marshall Islands,298 / 46 m,9085613
AL ZUBARAH,-,-,,11.1 m,-,46 hours ago,9085649 / 538009767,V7A5139,Marshall Islands,298 / 46 m,9085649
BARCELONA KNUTSEN,,,,11.0 m,-,2 days ago,9401295 / 224436000,EACW,Spain,290 / 45 m,9401295
VALENCIA KNUTSEN,-,-,,9.0 m,At anchor,2 min ago,9434266 / 225420000,EAUZ,Spain,290 / 46 m,9434266
SEVILLA KNUTSEN,-,-,,9.6 m,At anchor,4 min ago,9414632 / 224072000,EANB,Spain,290 / 46 m,9414632
SHAHAMAH,-,-,223.7° / 10.3 kn,7.0 m,-,100 days ago,9035852 / 636010085,ELQX7,Liberia,293 / 46 m,9035852
ISH,-,-,,11.1 m,-,368 days ago,9035864 / 636010329,ELSG8,Liberia,293 / 46 m,9035864
GHASHA,-,-,,11.2 m,-,8 days ago,9038452 / 636010183,ELRM6,Liberia,294 / 46 m,9038452
AL KHAZNAH,-,-,,10.8 m,-,14 hours ago,9038440 / 636010034,ELQQ7,Liberia,293 / 46 m,9038440
TERRA NOVA FPSO,-,-,,9.5 m,-,597 days ago,9183532 / 316298000,VCXF,Canada,292 / 45 m,9183532
MINERAL DEUTSCHLAND,-,-,130° / 10.7 kn,17.4 m,-,50 days ago,9953690 / 205204000,ONLU,Belgium,300 / 50 m,9953690
MINERAL ITALIA,-,-,17.2° / 12.1 kn,9.6 m,-,8 days ago,9953705 / 205225000,ONLW,Belgium,300 / 50 m,9953705
ALASKAN FRONTIER,-,-,81.2° / 0.0 kn,10.6 m,Moored,4 min ago,9244659 / 366948190,WDP8459,United States (USA),287 / 50 m,9244659
ALASKAN LEGEND,,,358.5° / 15.1 kn,10.1 m,Under way,3 hours ago,9271432 / 303656000,WDD2074,Alaska,287 / 50 m,9271432
ALASKAN EXPLORER,-,-,177.5° / 0.0 kn,10.7 m,Moored,1 min ago,9244661 / 303294000,WDB9918,Alaska,287 / 50 m,9244661
ALASKAN NAVIGATOR,-,-,290.2° / 10.5 kn,18.8 m,-,7 days ago,9244673 / 367688000,WDC6644,United States (USA),287 / 50 m,9244673
HYUNDAI SATURN,,,145.9° / 16.7 kn,11.7 m,Under way,11 hours ago,9725146 / 232024771,MGGA2,United Kingdom (UK),324 / 48 m,9725146
HYUNDAI JUPITER,-,-,114.3° / 0.0 kn,11.3 m,Moored,2 min ago,9725134 / 232018919,MEED8,United Kingdom (UK),324 / 48 m,9725134
HYUNDAI NEPTUNE,-,-,20.3° / 4.5 kn,13.1 m,-,33 hours ago,9725158 / 232018900,MEDZ7,United Kingdom (UK),324 / 48 m,9725158
HYUNDAI MARS,-,-,176.3° / 12.0 kn,10.9 m,Under way,5 hours ago,9725122 / 232024773,MGGA6,United Kingdom (UK),324 / 48 m,9725122
HYUNDAI EARTH,,,275° / 10.2 kn,10.8 m,Under way,1 min ago,9725110 / 232024772,MGGA4,United Kingdom (UK),324 / 48 m,9725110
HYUNDAI PLUTO,-,-,297° / 16.9 kn,14.1 m,-,25 days ago,9725160 / 232018901,MEDZ8,United Kingdom (UK),324 / 48 m,9725160
KOOL TIGER,-,-,245° / 15.2 kn,9.0 m,Under way,9 min ago,9976135 / 636023578,5LOJ7,Liberia,289 / 46 m,9976135
CARNIVAL FREEDOM,-,-,89.7° / 0.0 kn,8.4 m,Under way,0 min ago,9333149 / 371154000,3EBL5,Panama,290 / 36 m,9333149
HOEGH GANNET,-,-,57.9° / 0.0 kn,9.6 m,Moored,3 min ago,9822451 / 563071100,9V6119,Singapore,294 / 46 m,9822451
HOEGH GIANT,-,-,,10.2 m,Moored,4 hours ago,9762962 / 563180200,9V8541,Singapore,294 / 46 m,9762962
PUTERI SAADONG,-,-,,8.8 m,At anchor,3 min ago,9937945 / 538010566,V7A6224,Marshall Islands,290 / 46 m,9937945
SHANDONG NEW ERA,-,-,,11.0 m,-,9 days ago,9910753 / 477745400,VRUJ4,Hong Kong,299 / 50 m,9910753
SHANDONG MISSION,,,306.5° / 15.8 kn,9.7 m,-,2 days ago,9910741 / 477736300,VRUJ5,Hong Kong,299 / 50 m,9910741
SHANDONG RENAISSANCE,,,39.8° / 11.7 kn,17.8 m,-,11 days ago,9910739 / 477736600,VRUJ8,Hong Kong,299 / 50 m,9910739
BW CLEAR SKY,-,-,,11.0 m,-,15 days ago,9413327 / 563223100,9V9665,Singapore,298 / 46 m,9413327
BW ENN CRYSTAL SKY,,,,9.4 m,-,11 days ago,9383900 / 563222900,9V9661,Singapore,298 / 46 m,9383900
SANTA ISABEL,-,-,,17.8 m,-,8 days ago,9827372 / 354968000,H3ZE,Panama,300 / 50 m,9827372
HOEGH GRACE,-,-,,11.2 m,-,5 days ago,9674907 / 538006025,V7JB2,Marshall Islands,294 / 46 m,9674907
HOEGH GALLANT,-,-,,11.3 m,-,63 days ago,9653678 / 257528000,LAUI7,Norway,294 / 46 m,9653678
PSU FIRST,,,30.9° / 9.6 kn,18.9 m,-,2 days ago,9767405 / 563860000,9V5134,Singapore,300 / 49 m,9767405
INDEPENDENCE,-,-,,11.6 m,Moored,2 min ago,9629536 / 277587000,LYCL,Lithuania,294 / 46 m,9629536
TURQUOISE P,-,-,,12.1 m,Moored,3 min ago,9823883 / 271050049,TCA6950,Turkey,294 / 46 m,9823883
ALPHA TREASURE,,,,10.8 m,Under way,1 hour ago,9919216 / 538009506,V7A4825,Marshall Islands,300 / 50 m,9919216
BLC THIRD,,,,18.7 m,Under way,25 min ago,9855202 / 563084200,9V5880,Singapore,300 / 49 m,9855202
ATLANTIC TIGER,,,,18.0 m,-,5 days ago,9874612 / 538008793,V7A2764,Marshall Islands,299 / 50 m,9874612
ATLANTIC DRAGON,-,-,,7.7 m,-,9 days ago,9874600 / 538008792,V7A2763,Marshall Islands,299 / 50 m,9874600
ATLANTIC LION,-,-,,9.4 m,At anchor,2 min ago,9880867 / 563170100,9V7763,Singapore,300 / 50 m,9880867
BERGE ZUGSPITZE,-,-,,9.3 m,-,11 days ago,9750919 / 235112622,2ITG2,United Kingdom (UK),300 / 49 m,9750919
BERGE MOLDOVEANU,,,,18.6 m,-,6 days ago,9843390 / 232024253,MGAW9,United Kingdom (UK),300 / 49 m,9843390
GOLDEN SAINT,-,-,354.8° / 11.6 kn,5.5 m,-,36 days ago,9847982 / 538008660,V7A2632,Marshall Islands,300 / 49 m,9847982
BERGE TOUBKAL,-,-,,18.5 m,-,4 days ago,9750933 / 232007360,MAVT5,United Kingdom (UK),300 / 49 m,9750933
BERGE KENYA,-,-,,9.4 m,-,11 days ago,9843388 / 232024252,MGAW8,United Kingdom (UK),300 / 49 m,9843388
GOLDEN SKIES,,,,11.6 m,-,28 hours ago,9847970 / 538008773,V7A2742,Marshall Islands,300 / 49 m,9847970
BERGE MULHACEN,,,,18.3 m,-,14 days ago,9750945 / 232007361,MAVU2,United Kingdom (UK),300 / 49 m,9750945
BERGE MERU,,,,18.7 m,-,4 days ago,9855214 / 232024256,MGAY5,United Kingdom (UK),300 / 49 m,9855214
BERGE GROSSGLOCKNER,-,-,,9.9 m,At anchor,19 min ago,9750921 / 235112623,2ITG3,United Kingdom (UK),300 / 49 m,9750921
GOLDEN SPIRIT,-,-,260.1° / 0.0 kn,11.2 m,-,9 days ago,9856933 / 538008888,V7A2874,Marshall Islands,300 / 49 m,9856933
STELLA TESS,-,-,343° / 11.0 kn,18.6 m,-,8 days ago,9752199 / 563008300,9V3858,Singapore,300 / 49 m,9752199
GOLDEN SWIFT,-,-,,11.1 m,-,15 days ago,9702481 / 477713200,VRPA6,Hong Kong,299 / 49 m,9702481
GOLDEN SCAPE,,,,9.3 m,-,13 days ago,9702479 / 477524500,VROT4,Hong Kong,300 / 49 m,9702479
APL MIAMI,,,,12.1 m,Under way,9 min ago,9597549 / 566957000,9V9922,Singapore,329 / 46 m,9597549
APL DETROIT,-,-,,15.1 m,Moored,4 min ago,9632208 / 566960000,9V9925,Singapore,329 / 46 m,9632208
APL VANCOUVER,,,,12.7 m,Under way,0 min ago,9597472 / 566797000,9V9915,Singapore,328 / 45 m,9597472
APL HOUSTON,,,,10.7 m,-,3 days ago,9597537 / 566956000,9V9921,Singapore,328 / 46 m,9597537
APL MEXICO CITY,,,,12.7 m,-,2 days ago,9632210 / 566961000,9V9926,Singapore,329 / 46 m,9632210
APL CHARLESTON,,,,14.1 m,-,8 days ago,9597551 / 566958000,9V9923,Singapore,328 / 45 m,9597551
APL COLUMBUS,,,154.5° / 11.3 kn,12.4 m,Constrained,0 min ago,9597525 / 566953000,9V9920,Singapore,328 / 46 m,9597525
APL PHOENIX,-,-,,12.7 m,Under way,1 min ago,9597501 / 566951000,9V9918,Singapore,329 / 46 m,9597501
APL BOSTON,-,-,,14.2 m,Under way,12 hours ago,9597496 / 566950000,9V9917,Singapore,328 / 46 m,9597496
APL SAVANNAH,,,,15.0 m,-,15 hours ago,9597513 / 566952000,9V9919,Singapore,328 / 46 m,9597513
APL SANTIAGO,,,,12.7 m,-,4 days ago,9597563 / 566959000,9V9924,Singapore,328 / 45 m,9597563
APL NEW YORK,,,,12.1 m,Under way,0 min ago,9597484 / 566879000,9V9916,Singapore,328 / 45 m,9597484
PGN FSRU LAMPUNG,-,-,,11.3 m,-,58 days ago,9629524 / 525006208,JZRX,Indonesia,294 / 46 m,9629524
MARAN FIDELITY,,,,9.3 m,-,37 hours ago,9839870 / 241688000,SVDG3,Greece,300 / 50 m,9839870
MARAN SPLENDOUR,-,-,302.2° / 9.6 kn,9.6 m,-,12 days ago,9839868 / 241682000,SVDF9,Greece,300 / 50 m,9839868
MARAN FRIENDSHIP,,,59.7° / 11.4 kn,18.6 m,-,9 days ago,9846421 / 241709000,SVDH7,Greece,299 / 50 m,9846421
NORD ARGENTUM,-,-,284° / 0.0 kn,9.2 m,At anchor,1 min ago,9906049 / 219691000,OUQQ2,Denmark,299 / 50 m,9906049
NORD AURUM,-,-,139.2° / 0.3 kn,9.2 m,At anchor,2 min ago,9906037 / 219727000,OUUK2,Denmark,299 / 50 m,9906037
MAERSK ALTAIR,-,-,,13.0 m,Under way,39 min ago,9342499 / 565570000,9VEN2,Singapore,337 / 46 m,9342499
MAERSK ALGOL,,,,13.6 m,-,2 days ago,9342528 / 565819000,9VFV5,Singapore,337 / 46 m,9342528
MAERSK ANTARES,-,-,,12.3 m,Moored,9 min ago,9342504 / 565661000,9VHK7,Singapore,338 / 46 m,9342504
MAERSK ALFIRK,-,-,,13.9 m,-,26 hours ago,9342516 / 565747000,9VBN2,Singapore,337 / 45 m,9342516
NORD PALLADIUM,,,,8.9 m,-,8 days ago,9906025 / 219636000,OVJL2,Denmark,299 / 50 m,9906025
TENG MAY,-,-,,10.6 m,Under way,1 hour ago,9862853 / 636018655,D5QT2,Liberia,300 / 50 m,9862853
PENG MAY,-,-,113.4° / 0.0 kn,15.2 m,Moored,4 min ago,9862841 / 636018654,D5QS9,Liberia,300 / 50 m,9862841
HUI HE HAI,-,-,335.8° / 0.0 kn,11.8 m,-,2 days ago,9895654 / 477722200,VRTS4,Hong Kong,300 / 50 m,9895654
SHANDONG DEVELOPMENT,,,201.9° / 11.9 kn,10.4 m,-,24 hours ago,9911240 / 477793300,VRUO4,Hong Kong,300 / 50 m,9911240
XH ALOT,-,-,169.6° / 0.1 kn,9.6 m,At anchor,1 min ago,1018573 / 563245500,9VAV7,Singapore,299 / 50 m,1018573
EKAPUTRA 1,,,,10.4 m,-,43 hours ago,8706155 / 525022371,YBBQ2,Indonesia,290 / 46 m,8706155
XH NINGBO,-,-,,18.2 m,-,2 days ago,9948126 / 636022988,5LLJ9,Liberia,300 / 50 m,9948126
MINERAL OSTERREICH,,,,18.1 m,-,27 hours ago,9989455 / 205278000,ONMA,Belgium,300 / 50 m,9989455
YANTIAN,,,,10.5 m,Under way,0 min ago,9305594 / 256930000,9HA4039,Malta,350 / 43 m,9305594
BEIJING,,,,10.1 m,-,3 days ago,9308508 / 256937000,9HA4041,Malta,350 / 42 m,9308508
COSCO HELLAS,-,-,,13.9 m,-,2 days ago,9308510 / 256932000,9HA4040,Malta,350 / 43 m,9308510
YANTIAN I,-,-,,10.6 m,Under way,1 min ago,9305582 / 256938000,9HA4042,Malta,350 / 42 m,9305582
ZIM SHANGHAI,-,-,,14.7 m,-,15 hours ago,9305570 / 256940000,9HA4043,Malta,350 / 43 m,9305570
CAPE MERCURY,-,-,353.5° / 11.2 kn,9.7 m,-,11 days ago,9943827 / 563167800,9V7607,Singapore,300 / 50 m,9943827
CAPE VENUS,,,,18.5 m,-,24 hours ago,9939527 / 563167900,9V7603,Singapore,300 / 50 m,9939527
CAPE JUPITER,-,-,121.9° / 0.0 kn,9.5 m,At anchor,2 min ago,9939539 / 563167600,9V7604,Singapore,300 / 50 m,9939539
METHANE BECKI ANNE,-,-,,11.3 m,-,4 days ago,9516129 / 310597000,ZCEC2,Bermuda,291 / 45 m,9516129
M. PATRICIA CAMILA,-,-,,9.1 m,-,17 days ago,9425277 / 356421000,3EGL9,Panama,290 / 45 m,9425277
METHANE JULIA LOUISE,,,,10.7 m,Under way,5 hours ago,9412880 / 310584000,ZCEB2,Bermuda,290 / 45 m,9412880
CHINA VENTURE,-,-,,18.6 m,-,5 days ago,9940083 / 563185500,9V7147,Singapore,300 / 50 m,9940083
MINERAL NEDERLAND,,,,18.6 m,-,32 hours ago,9950258 / 205195000,ONKG,Belgium,300 / 50 m,9950258
CHINA CHAMPION,-,-,,18.5 m,-,10 days ago,9940095 / 563185600,9V7149,Singapore,300 / 50 m,9940095
CARNIVAL ENCOUNTER,,,,8.5 m,Under way,0 min ago,9192363 / 311001596,C6HX7,Bahamas,290 / 50 m,9192363
BERGE MAUNA KEA,-,-,308.9° / 11.0 kn,9.1 m,-,19 hours ago,9951939 / 232053197,MOTS7,United Kingdom (UK),299 / 50 m,9951939
MSC CANDICE,,,,13.0 m,-,6 days ago,9339284 / 352871000,3ENC5,Panama,337 / 46 m,9339284
MSC PAMELA,,,,13.9 m,Moored,0 min ago,9290531 / 371228000,3EBT6,Panama,337 / 46 m,9290531
MSC ESTHI,-,-,,5.9 m,-,24 hours ago,9304411 / 354499000,3EFU3,Panama,337 / 46 m,9304411
MSC SUSANNA,,,,14.2 m,-,3 days ago,9290543 / 371466000,3ECU4,Panama,337 / 46 m,9290543
MSC ASYA,,,,13.6 m,-,5 days ago,9339296 / 354744000,3EOB8,Panama,337 / 46 m,9339296
MSC JOANNA,,,,14.8 m,Under way,1 min ago,9304435 / 372050000,3EHF2,Panama,337 / 46 m,9304435
MSC SINDY,,,,13.7 m,-,3 days ago,9336048 / 372736000,3EKJ3,Panama,337 / 46 m,9336048
XH MEGA,-,-,,18.4 m,-,2 days ago,9957440 / 563197700,9V8931,Singapore,299 / 50 m,9957440
DREAM CLOVER,-,-,,18.1 m,-,13 days ago,9912074 / 355244000,3EFF9,Panama,299 / 50 m,9912074
METIS HORIZON,-,-,,6.5 m,-,4 days ago,9885049 / 538008889,V7A2875,Marshall Islands,300 / 50 m,9885049
LADY SOPHIE MARIE,,,,18.7 m,-,3 days ago,9939383 / 538010070,V7A5550,Marshall Islands,299 / 50 m,9939383
CARNIVAL ADVENTURE,,,,8.5 m,-,2 days ago,9192351 / 311001595,C6HX6,Bahamas,290 / 50 m,9192351
LADY DAWN,-,-,,18.0 m,At anchor,13 min ago,9939369 / 538010068,V7A5548,Marshall Islands,299 / 50 m,9939369
SHANDONG INNOVATION,,,,9.9 m,-,32 hours ago,9926386 / 477736800,VRUK5,Hong Kong,299 / 50 m,9926386
SHANDONG VICTORY,,,,17.8 m,-,3 days ago,9926403 / 477754900,VRUM8,Hong Kong,299 / 50 m,9926403
SHANDONG PROSPERITY,-,-,,18.6 m,-,3 days ago,9910765 / 477723700,VRUG5,Hong Kong,299 / 50 m,9910765
SHANDONGCIVILIZATION,,,,10.9 m,-,2 days ago,9926415 / 477793700,VRUO8,Hong Kong,299 / 50 m,9926415
CAPE BROLGA,,,,15.9 m,-,11 days ago,9907469 / 431568000,7KKH,Japan,300 / 50 m,9907469
GOLDEN DUKE,-,-,,9.0 m,Moored,4 min ago,9884629 / 538010536,V7A6185,Marshall Islands,300 / 50 m,9884629
CSK ZEPHYR,,,70.4° / 11.0 kn,18.4 m,-,41 hours ago,9802114 / 563068200,9V2181,Singapore,299 / 50 m,9802114
EURYBIA,-,-,38.5° / 0.1 kn,12.0 m,At anchor,6 hours ago,9758674 / 255915944,CQ2402,Portugal (Madeira),300 / 50 m,9758674
STAR AYESHA,-,-,,9.5 m,-,5 days ago,9796315 / 636019359,D5UD4,Liberia,299 / 50 m,9796315
DEBBIE H,,,,11.6 m,-,7 days ago,9796303 / 636019092,D5SX2,Liberia,300 / 50 m,9796303
TRUE CONRAD,,,,18.5 m,-,13 days ago,9778430 / 636017941,D5NL5,Liberia,300 / 50 m,9778430
STAR ELENI,-,-,,9.6 m,-,14 days ago,9712668 / 636018077,D5OB4,Liberia,300 / 50 m,9712668
STAR ARIADNE,,,,18.5 m,-,3 days ago,9731468 / 636017934,D5NK6,Liberia,300 / 50 m,9731468
STAR KARLIE,-,-,,18.6 m,-,3 days ago,9756236 / 636020462,D5ZI7,Liberia,300 / 50 m,9756236
STAR LEO,-,-,,9.3 m,-,5 days ago,9712670 / 636018301,D5PC4,Liberia,300 / 50 m,9712670
