Vessel Name,Predicted ETA,Distance / Time,Course / Speed,Current draught,Navigation Status,Position received,IMO / MMSI,Callsign,Flag,Length / Beam,IMO
FSRU TOSCANA,-,-,342° / 0.1 kn,8.8 m,At anchor,3 min ago,9253284 / 247323700,IBAH,Italy,288 / 48 m,9253284
SYMPHONIC BREEZE,-,-,62.9° / 13.1 kn,11.6 m,-,10 days ago,9330745 / 309839000,C6WR9,Bahamas,290 / 49 m,9330745
SAIPEM 7000,-,-,119° / 0.0 kn,12.0 m,Restricted,1 min ago,8501567 / 309461000,C6NO5,Bahamas,199 / 92 m,8501567
ENERGOS POWER,-,-,359.1° / 0.0 kn,9.2 m,At anchor,1 min ago,9861809 / 215888000,9HA5352,Malta,294 / 47 m,9861809
ENERGOS FORCE,-,-,319.8° / 0.0 kn,9.0 m,At anchor,3 min ago,9861811 / 229248000,9HA5313,Malta,294 / 47 m,9861811
DIAMOND GMETROPOLIS,-,-,,11.4 m,-,5 days ago,9862487 / 311000968,C6EQ2,Bahamas,297 / 47 m,9862487
DIAMOND GAS CRYSTAL,-,-,,10.6 m,Moored,5 hours ago,9874454 / 563125300,9V7021,Singapore,297 / 46 m,9874454
DIAMOND GAS VICTORIA,,,,9.3 m,Under way,2 hours ago,9874466 / 563125700,9V7029,Singapore,297 / 46 m,9874466
GRACE FREESIA,,,,11.5 m,-,12 days ago,9903920 / 311001111,C6FH6,Bahamas,297 / 46 m,9903920
GRACE EMILIA,,,,9.3 m,Under way,1 min ago,9884174 / 311001072,C6FC7,Bahamas,297 / 46 m,9884174
EVER FORWARD,-,-,,12.8 m,-,7 days ago,9850551 / 563161200,9V7977,Singapore,334 / 48 m,9850551
EVER FOREVER,-,-,,14.1 m,At anchor,2 min ago,9850575 / 351571000,H3WC,Panama,334 / 48 m,9850575
EVER FRONT,-,-,,11.8 m,At anchor,42 min ago,9850549 / 373285000,H3TM,Panama,334 / 48 m,9850549
EVER FOCUS,-,-,,10.9 m,Moored,3 min ago,9850537 / 374158000,H9DU,Panama,334 / 48 m,9850537
EVER FAITH,-,-,246° / 0.1 kn,11.7 m,At anchor,3 hours ago,9850525 / 355623000,3EVZ8,Panama,334 / 48 m,9850525
EVER FRANK,-,-,92.4° / 0.0 kn,11.0 m,Under way,0 min ago,9850587 / 563163400,9V7980,Singapore,334 / 48 m,9850587
EVER FORTUNE,,,29° / 15.0 kn,13.2 m,-,2 days ago,9850563 / 563160100,9V7979,Singapore,334 / 48 m,9850563
EVER FUTURE,-,-,81.7° / 11.5 kn,9.6 m,-,28 hours ago,9850599 / 563160200,9V7978,Singapore,334 / 48 m,9850599
SEAPEAK YAMAL,-,-,190.7° / 15.8 kn,11.5 m,Under way,8 hours ago,9781920 / 311000666,C6DG3,Bahamas,294 / 48 m,9781920
SEAPEAK GLASGOW,-,-,204.1° / 0.0 kn,9.5 m,Moored,11 min ago,9781918 / 311000665,C6DG2,Bahamas,294 / 48 m,9781918
SK AUDACE,-,-,,11.4 m,Sailing,2 min ago,9693161 / 373808000,3EKM6,Panama,293 / 48 m,9693161
SK RESOLUTE,-,-,,9.7 m,-,15 hours ago,9693173 / 354184000,3EYY,Panama,293 / 48 m,9693173
OCEAN CHINA,-,-,,9.8 m,-,3 days ago,9445291 / 477899700,VRIB6,Hong Kong,325 / 52 m,9445291
OCEAN HONGKONG,-,-,,10.0 m,-,9 days ago,9445306 / 477435500,VRIB7,Hong Kong,325 / 52 m,9445306
OCEAN WORLD,-,-,3° / 9.5 kn,9.9 m,-,9 days ago,9445289 / 477802300,VRIB5,Hong Kong,325 / 53 m,9445289
CSB PROPITIOUSNESS,-,-,,18.2 m,-,15 days ago,9474008 / 477550300,VRIA9,Hong Kong,325 / 52 m,9474008
COSCO TAICANG,,,,11.6 m,-,38 hours ago,9355575 / 477189300,VREV9,Hong Kong,349 / 46 m,9355575
KOOL ORCA,-,-,,9.3 m,-,10 days ago,9870525 / 636020078,D5X02,Liberia,299 / 46 m,9870525
KOOL FIRN,-,-,,9.7 m,-,11 days ago,9864746 / 636019878,D5WP2,Liberia,299 / 46 m,9864746
LA PEROUSE,-,-,,9.4 m,-,3 days ago,9849887 / 620999835,D6A3835,Comoros,300 / 46 m,9849887
BERGE TAI SHAN,-,-,,8.9 m,At anchor,1 min ago,9675937 / 235107512,2HXU4,United Kingdom (UK),306 / 52 m,9675937
BERGE HENG SHAN,,,,16.4 m,-,14 days ago,9675949 / 235108988,2IEC6,United Kingdom (UK),306 / 52 m,9675949
COSCO OCEANIA,,,266.3° / 17.7 kn,9.9 m,-,10 days ago,9334923 / 477056400,VRDQ5,Hong Kong,349 / 46 m,9334923
COSCO KAOHSIUNG,,,,10.8 m,-,3 days ago,9355563 / 477136800,VREM3,Hong Kong,349 / 46 m,9355563
COSCO PACIFIC,,,57.1° / 9.5 kn,9.5 m,Under way,1 min ago,9355551 / 477107200,VREC4,Hong Kong,349 / 46 m,9355551
UMM AL ASHTAN,,,,9.6 m,-,7 days ago,9074652 / 636010647,ELUD4,Liberia,290 / 48 m,9074652
MRAWEH,-,-,,9.6 m,At anchor,1 min ago,9074638 / 636010457,ELSZ4,Liberia,290 / 48 m,9074638
ALHAMRA,-,-,,11.5 m,-,5 days ago,9074640 / 636010544,ELTL9,Liberia,290 / 48 m,9074640
MUBARAZ,,,,11.7 m,Under way,0 min ago,9074626 / 636010373,ELSN2,Liberia,290 / 48 m,9074626
CSCL WINTER,-,-,,11.1 m,-,6 days ago,9645877 / 477117400,VRNA3,Hong Kong,335 / 49 m,9645877
LNG ABUJA II,,,,9.3 m,Under way,2 min ago,9690169 / 310730000,ZCER2,Bermuda,292 / 48 m,9690169
