Vessel Name,Predicted ETA,Distance / Time,Course / Speed,Current draught,Navigation Status,Position received,IMO / MMSI,Callsign,Flag,Length / Beam,IMO

GH HELM,,,284° / 11.0 kn,11.3 m,-,3 days ago,9438781 / 310855000,ZCH67,Bermuda,292 / 45 m,9438781
DIONE,,,,18.3 m,-,29 days ago,9469467 / 240858000,SVAO3,Greece,292 / 45 m,9469467
GH NIGHTINGALE,-,-,,17.0 m,At anchor,4 min ago,9464144 / 310843000,ZCHF7,Bermuda,292 / 45 m,9464144
WILLIAM OLDENDORFF,,,,9.0 m,-,40 hours ago,9623570 / 636092761,D5NF7,Liberia,292 / 45 m,9623570
CAPE PLEASURE,-,-,,11.0 m,At anchor,46 min ago,9960124 / 352003279,3E7450,Panama,292 / 45 m,9960124
CAPE SATSUKI,-,-,,18.4 m,At anchor,2 min ago,9960136 / 636023130,5LMC8,Liberia,292 / 45 m,9960136
ASANAGI,-,-,,9.2 m,At anchor,1 min ago,9916197 / 636021386,5LDR9,Liberia,292 / 45 m,9916197
CAPE FALCON,-,-,,17.5 m,Under way,1 min ago,9916202 / 636021623,5LEW5,Liberia,292 / 45 m,9916202
CAROUGE,-,-,,17.5 m,-,3 days ago,9933080 / 636022526,5LJF7,Liberia,292 / 45 m,9933080
NAVIOS AMETHYST,,,,15.3 m,-,17 days ago,9960148 / 352002637,3E4961,Panama,292 / 45 m,9960148
NAVIOS SAKURA,,,,18.3 m,-,6 days ago,9951927 / 352002554,3E2334,Panama,292 / 45 m,9951927
NAVIOS ARMONIA,,,,10.6 m,-,4 days ago,9925813 / 636021982,5LGQ3,Liberia,292 / 45 m,9925813
NAVIOS ALTAIR,-,-,,18.8 m,-,35 days ago,9933092 / 352002421,3E3882,Panama,292 / 45 m,9933092
BERGE SARSTEIN,,,115.5° / 9.8 kn,17.8 m,-,31 hours ago,9774367 / 232006421,MAPG9,United Kingdom (UK),292 / 45 m,9774367
GOLDEN MAGNUM,-,-,17.7° / 0.0 kn,10.5 m,Moored,2 min ago,9494230 / 477767800,VRML3,Hong Kong,292 / 45 m,9494230
CAPE BREEZE,-,-,,18.3 m,-,4 days ago,9518919 / 209596000,5BWU2,Cyprus,292 / 45 m,9518919
CAPE VENTURE,-,-,,18.9 m,-,41 days ago,9518921 / 209058000,5BZR2,Cyprus,292 / 45 m,9518921
EXCELLENCE,-,-,,11.0 m,Moored,1 min ago,9252539 / 205434000,ONBG,Belgium,277 / 44 m,9252539
IAN M,-,-,,9.5 m,-,12 days ago,9434773 / 636015350,D5AC6,Liberia,292 / 45 m,9434773
STELLA,,,,18.2 m,-,24 hours ago,9434785 / 636015544,D5BK6,Liberia,292 / 45 m,9434785
