Vessel Name,Predicted ETA,Distance / Time,Course / Speed,Current draught,Navigation Status,Position received,IMO / MMSI,Callsign,Flag,Length / Beam,IMO
TRINITY GLORY,-,-,,10.4 m,-,30 hours ago,9350927 / 370668000,3FMV6,Panama,289 / 44 m,9350927
ARROW SPIRIT,-,-,,9.8 m,At anchor,3 hours ago,9319404 / 563196500,9V9062,Singapore,291 / 45 m,9319404
EVER LIFTING,-,-,,11.1 m,Moored,0 min ago,9629122 / 235110737,2ILJ7,United Kingdom (UK),335 / 46 m,9629122
EVER LUNAR,-,-,,12.7 m,-,5 days ago,9629093 / 416497000,BKKF,Taiwan,335 / 46 m,9629093
EVER LUCID,,,,9.5 m,-,2 days ago,9629055 / 416509000,BKIY,Taiwan,334 / 45 m,9629055
EVER LIVING,-,-,,13.3 m,-,4 days ago,9629031 / 563143000,9V9791,Singapore,335 / 46 m,9629031
EVER LISSOME,-,-,,11.8 m,Moored,1 min ago,9629079 / 235102679,2HDG3,United Kingdom (UK),335 / 46 m,9629079
EVER LOVELY,-,-,,7.7 m,-,34 days ago,9629110 / 563033000,9V9793,Singapore,335 / 46 m,9629110
EVER LUCENT,,,,14.3 m,-,19 hours ago,9629067 / 564345000,9V9792,Singapore,334 / 46 m,9629067
EVER LYRIC,,,,12.8 m,-,29 days ago,9629108 / 416498000,BKKH,Taiwan,335 / 46 m,9629108
EVER LINKING,-,-,,11.3 m,At anchor,2 min ago,9629043 / 235098383,2GLI9,United Kingdom (UK),335 / 46 m,9629043
EVER LOADING,-,-,63.3° / 0.1 kn,13.8 m,Moored,2 min ago,9629081 / 235102681,2HDG4,United Kingdom (UK),335 / 46 m,9629081
EXPEDIENT,-,-,,9.5 m,Moored,1 min ago,9389643 / 538011441,V7A2969,Marshall Islands,292 / 43 m,9389643
TRINITY GLORY,-,-,,10.4 m,-,30 hours ago,9350927 / 370668000,3FMV6,Panama,289 / 44 m,9490959
ARROW SPIRIT,-,-,,9.8 m,At anchor,3 hours ago,9319404 / 563196500,9V9062,Singapore,291 / 45 m,9475208
EVER LIFTING,-,-,,11.1 m,Moored,0 min ago,9629122 / 235110737,2ILJ7,United Kingdom (UK),335 / 46 m,9491812
EVER LUNAR,-,-,,12.7 m,-,5 days ago,9629093 / 416497000,BKKF,Taiwan,335 / 46 m,9490961
EVER LUCID,,,,9.5 m,-,2 days ago,9629055 / 416509000,BKIY,Taiwan,334 / 45 m,9372999
EVER LIVING,-,-,,13.3 m,-,4 days ago,9629031 / 563143000,9V9791,Singapore,335 / 46 m,9323675
